Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202507,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"230,637",1,0,0,"230,637",1,Provisional
202507,0201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"6,419",569,0,0,"6,419",569,Provisional
202507,0201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"53,504,996","2,704,650",0,0,"53,504,996","2,704,650",Provisional
202507,0201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"272,027","23,117",0,0,"272,027","23,117",Provisional
202507,0201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"1,743,375","85,867",0,0,"1,743,375","85,867",Provisional
202507,0201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,"15,867","1,134",0,0,"15,867","1,134",Provisional
202507,0202200019,"Meat; of bovine animals, beef quarters of steer and heifer, L1 and L2 grades, with bone in, frozen",KGM,"15,862","4,830",0,0,"15,862","4,830",Provisional
202507,0202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"859,100","193,823",0,0,"859,100","193,823",Provisional
202507,0202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"16,785,042","2,484,683",0,0,"16,785,042","2,484,683",Provisional
202507,0202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"4,833,529","1,867,772",0,0,"4,833,529","1,867,772",Provisional
202507,0202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"4,607,098","1,053,033",0,0,"4,607,098","1,053,033",Provisional
202507,0202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"966,628","256,621",0,0,"966,628","256,621",Provisional
202507,0202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"225,864,972","19,465,139",0,0,"225,864,972","19,465,139",Provisional
202507,0202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"10,902,329","1,022,254",0,0,"10,902,329","1,022,254",Provisional
202507,0202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"64,569,098","5,167,443",0,0,"64,569,098","5,167,443",Provisional
202507,0202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"2,298,460","248,786",0,0,"2,298,460","248,786",Provisional
202507,0202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"139,410","48,715",0,0,"139,410","48,715",Provisional
202507,0203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,0,0,"6,150","1,000","6,150","1,000",Provisional
