Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
201902,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"58,315","2,989",0,0,"58,315","2,989",Final,,,
201902,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,Wallis and Futuna,"2,872",288,0,0,"2,872",288,Final,,,
201902,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"1,588",250,0,0,"1,588",250,Final,,,
201902,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,Singapore,980,40,0,0,980,40,Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United Arab Emirates,"3,002,395","242,026",0,0,"3,002,395","242,026",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Australia,"801,448","59,216",0,0,"801,448","59,216",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Belgium,"155,053","9,018",0,0,"155,053","9,018",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Bahrain,"544,051","42,704",0,0,"544,051","42,704",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Canada,"403,591","29,177",0,0,"403,591","29,177",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Switzerland,"8,987",369,0,0,"8,987",369,Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","4,499,715","516,498",0,0,"4,499,715","516,498",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Germany,"1,656,970","77,792",0,0,"1,656,970","77,792",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Denmark,"212,481","10,846",0,0,"212,481","10,846",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Fiji,"5,265",308,0,0,"5,265",308,Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Faeroe Islands,"136,288","10,885",0,0,"136,288","10,885",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United Kingdom,"67,857","1,486",0,0,"67,857","1,486",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"442,265","23,873",0,0,"442,265","23,873",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Italy,"1,404,057","89,090",0,0,"1,404,057","89,090",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Jordan,"46,264","2,633",0,0,"46,264","2,633",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Japan,"6,497,778","486,175",0,0,"6,497,778","486,175",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"Korea, Republic of","105,150","10,885",0,0,"105,150","10,885",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Kuwait,"437,956","35,655",0,0,"437,956","35,655",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Malaysia,"39,873","1,843",0,0,"39,873","1,843",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,New Caledonia,"1,188,911","98,197",0,0,"1,188,911","98,197",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Netherlands,"2,080,126","113,572",0,0,"2,080,126","113,572",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Oman,"754,869","82,453",0,0,"754,869","82,453",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,French Polynesia,"1,688,186","122,474","1,010",80,"1,689,196","122,554",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Qatar,"525,483","41,475",0,0,"525,483","41,475",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Saudi Arabia,"497,631","38,500",0,0,"497,631","38,500",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"1,353,174","71,273",0,0,"1,353,174","71,273",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Taiwan,"1,261,622","124,581",0,0,"1,261,622","124,581",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"4,457,081","315,581",0,0,"4,457,081","315,581",Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Vanuatu,"4,859",243,0,0,"4,859",243,Final,,,
201902,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"108,770","9,731",0,0,"108,770","9,731",Final,,,
201902,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","432,554","56,168",0,0,"432,554","56,168",Final,,,
201902,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"5,144",611,0,0,"5,144",611,Final,,,
201902,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"55,103","4,187",0,0,"55,103","4,187",Final,,,
201902,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"15,663",808,0,0,"15,663",808,Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,United Arab Emirates,"78,859","3,345",0,0,"78,859","3,345",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Belgium,"2,807",220,0,0,"2,807",220,Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Bahrain,"67,857","2,873",0,0,"67,857","2,873",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"China, People's Republic of","1,830,448","211,836",0,0,"1,830,448","211,836",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Denmark,"88,365","4,063",0,0,"88,365","4,063",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"30,992","1,344",0,0,"30,992","1,344",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Japan,"228,776","12,952",0,0,"228,776","12,952",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Kuwait,"6,434",246,0,0,"6,434",246,Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Malaysia,"9,770",460,0,0,"9,770",460,Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Oman,"21,938",938,0,0,"21,938",938,Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,French Polynesia,"100,327","6,350",0,0,"100,327","6,350",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Qatar,"3,639",159,0,0,"3,639",159,Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"113,963","4,882",0,0,"113,963","4,882",Final,,,
201902,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"760,467","87,913",0,0,"760,467","87,913",Final,,,
201902,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,French Polynesia,"63,837","18,264",0,0,"63,837","18,264",Final,,,
201902,202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,New Caledonia,644,141,0,0,644,141,Final,,,
201902,202100011,"Meat; of bovine animals, half-carcasses of veal (other than bobby), frozen",KGM,French Polynesia,"9,147","2,308",0,0,"9,147","2,308",Final,,,
201902,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,Cook Islands,55,17,0,0,55,17,Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"86,049","4,233",0,0,"86,049","4,233",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Switzerland,"358,816","79,168",0,0,"358,816","79,168",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Cook Islands,"4,448",207,0,0,"4,448",207,Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","6,632,839","1,017,142",0,0,"6,632,839","1,017,142",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Fiji,"6,151",338,0,0,"6,151",338,Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Micronesia, Federated States of","1,560",150,0,0,"1,560",150,Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"51,733","3,010",0,0,"51,733","3,010",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Indonesia,"12,964","4,291",0,0,"12,964","4,291",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Japan,"2,940",253,0,0,"2,940",253,Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Cambodia,"16,047","1,361",0,0,"16,047","1,361",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","2,605,736","455,978",0,0,"2,605,736","455,978",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"193,081","29,673",0,0,"193,081","29,673",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Netherlands,"68,790","3,958",0,0,"68,790","3,958",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Papua New Guinea,"10,397","2,100",0,0,"10,397","2,100",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Philippines,"191,488","48,918",0,0,"191,488","48,918",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Palau,"2,290",153,0,0,"2,290",153,Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"242,087","34,373",0,0,"242,087","34,373",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Tonga,"69,508","14,455",0,0,"69,508","14,455",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Trinidad and Tobago,"6,234",336,0,0,"6,234",336,Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Taiwan,"53,687","17,867",0,0,"53,687","17,867",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"37,445","4,380",0,0,"37,445","4,380",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Viet Nam,"45,035","3,024",0,0,"45,035","3,024",Final,,,
201902,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Vanuatu,799,39,0,0,799,39,Final,,,
201902,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","1,837,459","970,934",0,0,"1,837,459","970,934",Final,,,
201902,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Indonesia,"165,194","115,233",0,0,"165,194","115,233",Final,,,
201902,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","151,334","27,938",0,0,"151,334","27,938",Final,,,
201902,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"567,753","237,992",0,0,"567,753","237,992",Final,,,
