Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202208,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"398,747","21,112",0,0,"398,747","21,112",Final,,,,
202208,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,981,340","87,307",0,0,"1,981,340","87,307",Final,,,,
202208,302230011,"Fish; fresh or chilled, sole (Solea spp.),headed and gutted",KGM,230,20,0,0,230,20,Final,,,,
202208,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"36,423","3,067",0,0,"36,423","3,067",Final,,,,
202208,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"4,372",428,0,0,"4,372",428,Final,,,,
202208,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"309,892","22,640",0,0,"309,892","22,640",Final,,,,
202208,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,635,73,0,0,635,73,Final,,,,
202208,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"17,033","1,248",0,0,"17,033","1,248",Final,,,,
202208,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"52,950","2,511",0,0,"52,950","2,511",Final,,,,
202208,302310011,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,"2,989",297,0,0,"2,989",297,Final,,,,
202208,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"17,468",751,0,0,"17,468",751,Final,,,,
202208,302340029,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"17,809","1,269",0,0,"17,809","1,269",Final,,,,
202208,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"15,622",625,0,0,"15,622",625,Final,,,,
202208,302350049,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"8,159","1,110",0,0,"8,159","1,110",Final,,,,
202208,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"1,324,005","74,105",0,0,"1,324,005","74,105",Final,,,,
202208,302360029,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"390,198","48,029",0,0,"390,198","48,029",Final,,,,
202208,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,611,54,0,0,611,54,Final,,,,
202208,302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,"2,595",200,0,0,"2,595",200,Final,,,,
202208,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"30,974","2,222",0,0,"30,974","2,222",Final,,,,
202208,302470029,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"6,272",685,0,0,"6,272",685,Final,,,,
202208,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"24,057","1,217",0,0,"24,057","1,217",Final,,,,
202208,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"28,639","3,563",0,0,"28,639","3,563",Final,,,,
