Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202510,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"281,595",2,0,0,"281,595",2,Provisional
202510,0302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,148",140,0,0,"1,148",140,Provisional
202510,0302290002,"Fish; fresh or chilled, flounder, whole",KGM,"20,245","1,065",0,0,"20,245","1,065",Provisional
202510,0302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"13,505","1,366",0,0,"13,505","1,366",Provisional
202510,0302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,"4,224",446,0,0,"4,224",446,Provisional
202510,0302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"4,582",511,0,0,"4,582",511,Provisional
202510,0302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"1,840",115,0,0,"1,840",115,Provisional
202510,0302290051,"Fish; fresh or chilled, New Zealand sole, headed and gutted",KGM,721,91,0,0,721,91,Provisional
202510,0302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"149,018","10,608",0,0,"149,018","10,608",Provisional
202510,0302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,54,3,0,0,54,3,Provisional
202510,0302320001,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), whole",KGM,100,5,0,0,100,5,Provisional
202510,0302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,58,7,0,0,58,7,Provisional
202510,0302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,189,26,0,0,189,26,Provisional
202510,0302490010,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, whole",KGM,470,56,0,0,470,56,Provisional
202510,0302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"7,411",329,0,0,"7,411",329,Provisional
202510,0302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"17,735","2,046",0,0,"17,735","2,046",Provisional
202510,0302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"19,778",733,0,0,"19,778",733,Provisional
202510,0302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"13,637",967,0,0,"13,637",967,Provisional
202510,0302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"256,807","23,016",0,0,"256,807","23,016",Provisional
202510,0302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"180,407","15,280",0,0,"180,407","15,280",Provisional
202510,0302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"50,636","5,034",0,0,"50,636","5,034",Provisional
202510,0302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"3,071,277","224,826",0,0,"3,071,277","224,826",Provisional
202510,0302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"345,502","22,685",0,0,"345,502","22,685",Provisional
202510,0302891015,"Fish; fresh or chilled, groper, whole",KGM,"420,027","21,492",0,0,"420,027","21,492",Provisional
202510,0302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"9,829",957,0,0,"9,829",957,Provisional
202510,0302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"345,878","25,056",0,0,"345,878","25,056",Provisional
202510,0302891039,"Fish; fresh or chilled, mullet, whole",KGM,"7,989",593,0,0,"7,989",593,Provisional
202510,0302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"9,098",946,0,0,"9,098",946,Provisional
