Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202505,2204210211,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., red, in containers of a capacity not exceeding 750ml",LTR,"31,938","2,498",0,0,"31,938","2,498",Final
202505,2204210241,"Wine; still, for further manufacture in a licensed manufacturing area, containing more than 14% vol., (not sherry or port), in containers of a capacity not exceeding 750ml",LTR,"2,413",28,0,0,"2,413",28,Final
202505,2204211321,"Wine; still, containing more than 14% vol., fortified by addition of spirits or any substance containing spirit, (not sherry or port), in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LPA,0,0,134,2,134,2,Final
202505,2204211801,"Wine; still, (not containing more than 14% vol.), white, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LTR,"120,015,691","11,781,756","21,090",869,"120,036,781","11,782,625",Final
202505,2204211809,"Wine; still, (not containing more than 14% vol.), white, in containers of a capacity exceeding 750ml but not exceeding 2 litres, not for further manufacture in a licensed manufacturing area",LTR,"19,511","1,188","1,725",14,"21,236","1,202",Final
202505,2204211811,"Wine; still, (not containing more than 14% vol.), red, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LTR,"11,495,740","709,508","873,715","59,008","12,369,455","768,515",Final
202505,2204211819,"Wine; still, (not containing more than 14% vol.), red, in containers of a capacity exceeding 750ml but not exceeding 2 litres, not for further manufacture in a licensed manufacturing area",LTR,"3,013",39,146,12,"3,159",51,Final
202505,2204229010,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, containing not more than 14% vol., white, not for further manufacture in a licensed manufacturing area",LTR,"26,790","2,400",207,60,"26,997","2,460",Final
202505,2204229019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, containing not more than 14% vol., red, not for further manufacture in a licensed manufacturing area",LTR,503,6,"1,240",360,"1,743",366,Final
202505,2204291039,"Wine; still, in containers holding over 10 litres, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., (not sherry or port)",LTR,"4,339,738","944,786",0,0,"4,339,738","944,786",Final
202505,2204299010,"Wine; still, in containers holding over 10 litres, containing not more than 14% vol., white, not for further manufacture in a licensed manufacturing area",LTR,"19,831,321","5,331,860",0,0,"19,831,321","5,331,860",Final
202505,2204299019,"Wine; still, in containers holding over 10 litres, containing not more than 14% vol., red, not for further manufacture in a licensed manufacturing area",LTR,"469,161","170,614",0,0,"469,161","170,614",Final
202505,2204300000,"Grape must; n.e.c. in heading no. 2009, n.e.c. in item no. 2204.2",LTR,"40,153","3,672",288,17,"40,441","3,689",Final
