Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202307,2204101209,"Wine; sparkling, for further manufacture in a licensed manufacturing area, white",LTR,"499,200","96,000",0,0,"499,200","96,000",Provisional
202307,2204101801,"Wine; sparkling, (other than for manufacture in a licensed manufacturing area), red",LTR,"1,264,248","88,653","23,256","1,292","1,287,504","89,945",Provisional
202307,2204101809,"Wine; sparkling, (other than for manufacture in a licensed manufacturing area), white",LTR,"851,743","68,020","220,517","13,741","1,072,260","81,761",Provisional
202307,2204210201,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., white, in containers of a capacity not exceeding 750ml",LTR,"10,726,463","792,087",0,0,"10,726,463","792,087",Provisional
202307,2204210211,"Wine; still, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., red, in containers of a capacity not exceeding 750ml",LTR,"1,772,559","138,479","14,718",945,"1,787,277","139,424",Provisional
202307,2204210241,"Wine; still, for further manufacture in a licensed manufacturing area, containing more than 14% vol., (not sherry or port), in containers of a capacity not exceeding 750ml",LTR,"70,824","7,232",284,18,"71,108","7,250",Provisional
202307,2204211311,"Wine; still, containing more than 14% vol., fortified by addition of spirits or any substance containing spirit, port, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LPA,0,0,"10,470",109,"10,470",109,Provisional
202307,2204211801,"Wine; still, (not containing more than 14% vol.), white, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LTR,"85,146,290","8,932,061","212,856","10,651","85,359,146","8,942,711",Provisional
202307,2204211809,"Wine; still, (not containing more than 14% vol.), white, in containers of a capacity exceeding 750ml but not exceeding 2 litres, not for further manufacture in a licensed manufacturing area",LTR,"58,130","6,384",0,0,"58,130","6,384",Provisional
202307,2204211811,"Wine; still, (not containing more than 14% vol.), red, in containers of a capacity not exceeding 750ml, not for further manufacture in a licensed manufacturing area",LTR,"11,365,895","676,230","491,860","16,898","11,857,755","693,128",Provisional
202307,2204211819,"Wine; still, (not containing more than 14% vol.), red, in containers of a capacity exceeding 750ml but not exceeding 2 litres, not for further manufacture in a licensed manufacturing area",LTR,"34,135","1,819",0,0,"34,135","1,819",Provisional
202307,2204221010,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., white",LTR,"124,415","9,252",0,0,"124,415","9,252",Provisional
202307,2204221011,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, for further manufacture in a licensed manufacturing area, containing not more than 14% vol., red",LTR,"432,351","71,700",0,0,"432,351","71,700",Provisional
202307,2204221019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, for further manufacture in a licensed manufacturing area, containing more than 14% vol., (not sherry or port)",LTR,0,0,"5,551",482,"5,551",482,Provisional
202307,2204229010,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, containing not more than 14% vol., white, not for further manufacture in a licensed manufacturing area",LTR,0,0,"1,525",480,"1,525",480,Provisional
202307,2204229019,"Wine; still, in containers holding more than 2 litres but not more than 10 litres, containing not more than 14% vol., red, not for further manufacture in a licensed manufacturing area",LTR,0,0,"1,972",600,"1,972",600,Provisional
202307,2204291039,"Wine; still, in containers holding over 10 litres, for further manufacture in a licensed manufacturing area, containing more than 14% vol., (not sherry or port)",LTR,"35,182,169","7,597,981",0,0,"35,182,169","7,597,981",Provisional
202307,2204299010,"Wine; still, in containers holding over 10 litres, containing not more than 14% vol., white, not for further manufacture in a licensed manufacturing area",LTR,"6,656,478","1,453,188",0,0,"6,656,478","1,453,188",Provisional
202307,2204299019,"Wine; still, in containers holding over 10 litres, containing not more than 14% vol., red, not for further manufacture in a licensed manufacturing area",LTR,"154,035","24,139",0,0,"154,035","24,139",Provisional
202307,2205101200,"Vermouth; in containers holding 2 litres or less, containing more than 14% vol., fortified by the addition of spirits, not for further manufacture in a licensed manufacturing area",LPA,0,0,"2,320",12,"2,320",12,Provisional
202307,2206000801,"Beverages, fermented; fruit or vegetable wine, containing not more than 14% vol., (not for further manufacture), kiwifruit wine, sparkling",LTR,0,0,"2,791",2,"2,791",2,Provisional
202307,2206000819,"Beverages, fermented; fruit or vegetable wine, containing not more than 14% vol., not for further manufacture, other than kiwifruit wine",LTR,"3,253",441,"9,152","1,199","12,405","1,640",Provisional
202307,2206003201,"Beverages, fermented; (other than fruit or vegetable wine), containing not more than 1.15% vol., sparkling",LTR,"91,237","16,655",0,0,"91,237","16,655",Provisional
