Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202207,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"129,386","17,237",0,0,"129,386","17,237",Final,,,,
202207,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,900,452","192,956",0,0,"1,900,452","192,956",Final,,,,
202207,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"214,860","35,127",0,0,"214,860","35,127",Final,,,,
202207,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"431,397","140,123",0,0,"431,397","140,123",Final,,,,
202207,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"4,602",720,0,0,"4,602",720,Final,,,,
202207,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"424,654","95,065",0,0,"424,654","95,065",Final,,,,
202207,206900081,"Offal, edible; of goats, horses, asses, mules or hinnies, hearts, frozen",KGM,"3,003",571,0,0,"3,003",571,Final,,,,
202207,206900091,"Offal, edible; of goats, horses, asses, mules or hinnies, livers, frozen",KGM,"256,016","50,788",0,0,"256,016","50,788",Final,,,,
202207,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"1,814",401,0,0,"1,814",401,Final,,,,
202207,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"27,923","2,089",0,0,"27,923","2,089",Final,,,,
202207,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"791,788","228,021",0,0,"791,788","228,021",Final,,,,
202207,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"597,109","83,388","1,056",75,"598,165","83,463",Final,,,,
202207,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,"20,902","9,067",0,0,"20,902","9,067",Final,,,,
202207,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,278,785","720,956",0,0,"2,278,785","720,956",Final,,,,
202207,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,785,77,0,0,785,77,Final,,,,
202207,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"14,366","4,304",0,0,"14,366","4,304",Final,,,,
202207,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"217,257","24,673",0,0,"217,257","24,673",Final,,,,
202207,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"428,416","4,804",0,0,"428,416","4,804",Final,,,,
202207,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"224,230","3,540",0,0,"224,230","3,540",Final,,,,
202207,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"433,005","21,921",0,0,"433,005","21,921",Final,,,,
202207,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,274,153","46,058",0,0,"1,274,153","46,058",Final,,,,
202207,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"20,071,066","1,610,822",0,0,"20,071,066","1,610,822",Final,,,,
202207,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"38,693","3,801","13,182","1,009","51,875","4,810",Final,,,,
202207,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"55,915","1,188",0,0,"55,915","1,188",Final,,,,
202207,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"100,390","8,446",0,0,"100,390","8,446",Final,,,,
202207,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"3,857",321,"1,483",120,"5,340",441,Final,,,,
202207,210993025,"Meat and edible meat offal; of deer, edible offal, salted, in brine, dried or smoked, other than pizzles and tails",KGM,"28,349",50,0,0,"28,349",50,Final,,,,
202207,210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"1,351,835","23,057",0,0,"1,351,835","23,057",Final,,,,
202207,301920000,"Fish; live, eels (anguilla spp.)",KGM,"150,959","8,034",0,0,"150,959","8,034",Final,,,,
202207,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,675,087","247,600","15,710",870,"5,690,797","248,471",Final,,,,
202207,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"467,843","23,610",0,0,"467,843","23,610",Final,,,,
202207,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,802,697","80,393",0,0,"1,802,697","80,393",Final,,,,
202207,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"24,698","2,230",0,0,"24,698","2,230",Final,,,,
202207,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,228",107,0,0,"1,228",107,Final,,,,
202207,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"184,801","13,566",0,0,"184,801","13,566",Final,,,,
202207,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"1,761",155,0,0,"1,761",155,Final,,,,
202207,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"5,704",340,0,0,"5,704",340,Final,,,,
202207,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"30,403","1,238",0,0,"30,403","1,238",Final,,,,
202207,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"8,117",306,0,0,"8,117",306,Final,,,,
202207,302340029,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,511",332,0,0,"2,511",332,Final,,,,
202207,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"25,533","1,294",0,0,"25,533","1,294",Final,,,,
202207,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"1,237",165,0,0,"1,237",165,Final,,,,
202207,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"2,077,465","134,325",0,0,"2,077,465","134,325",Final,,,,
202207,302360029,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"318,385","42,496",0,0,"318,385","42,496",Final,,,,
202207,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,303,27,0,0,303,27,Final,,,,
202207,302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,612,73,0,0,612,73,Final,,,,
202207,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"70,726","4,641",0,0,"70,726","4,641",Final,,,,
