Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202201,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"470,939","36,591",0,0,"470,939","36,591",Final,,,,
202201,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"7,343,588","570,627",0,0,"7,343,588","570,627",Final,,,,
202201,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"817,167","466,031",0,0,"817,167","466,031",Final,,,,
202201,206290001,"Offal, edible; of bovine animals, brains, frozen",KGM,"17,910","3,288",0,0,"17,910","3,288",Final,,,,
202201,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,454,264","318,375",0,0,"1,454,264","318,375",Final,,,,
202201,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"355,980","89,620",0,0,"355,980","89,620",Final,,,,
202201,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"14,648,965","1,582,934",0,0,"14,648,965","1,582,934",Final,,,,
202201,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"7,175",624,0,0,"7,175",624,Final,,,,
202201,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"186,171","45,472",0,0,"186,171","45,472",Final,,,,
202201,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"845,677","90,814",0,0,"845,677","90,814",Final,,,,
202201,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,080,029","543,924",0,0,"1,080,029","543,924",Final,,,,
202201,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"72,441","9,338",0,0,"72,441","9,338",Final,,,,
202201,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"170,323","24,702",0,0,"170,323","24,702",Final,,,,
202201,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,197,754","293,309",0,0,"2,197,754","293,309",Final,,,,
202201,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"580,918","105,297",0,0,"580,918","105,297",Final,,,,
202201,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"875,902","303,858",0,0,"875,902","303,858",Final,,,,
202201,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"44,146","8,005",0,0,"44,146","8,005",Final,,,,
202201,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"690,899","84,864",0,0,"690,899","84,864",Final,,,,
202201,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"2,904",678,0,0,"2,904",678,Final,,,,
202201,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"41,516","6,436",0,0,"41,516","6,436",Final,,,,
202201,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"517,046","96,757",0,0,"517,046","96,757",Final,,,,
202201,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"352,507","28,278",0,0,"352,507","28,278",Final,,,,
202201,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,"2,528",340,0,0,"2,528",340,Final,,,,
202201,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"1,989,133","554,798",0,0,"1,989,133","554,798",Final,,,,
202201,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,50,13,0,0,50,13,Final,,,,
202201,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"5,179",244,0,0,"5,179",244,Final,,,,
202201,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"22,896","2,426",0,0,"22,896","2,426",Final,,,,
202201,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,522,19,0,0,522,19,Final,,,,
202201,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"471,577","5,098",0,0,"471,577","5,098",Final,,,,
202201,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"1,270,156","5,814",0,0,"1,270,156","5,814",Final,,,,
202201,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"158,145","15,547",0,0,"158,145","15,547",Final,,,,
202201,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,268,098","49,334",0,0,"1,268,098","49,334",Final,,,,
202201,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"11,090,740","719,734",0,0,"11,090,740","719,734",Final,,,,
202201,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"14,913","1,169","1,659",179,"16,572","1,348",Final,,,,
202201,210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"850,502","13,505",0,0,"850,502","13,505",Final,,,,
202201,301910009,"Fish; live, trout, (oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), n.e.c. in item no. 0301.91.00.01",KGM,"184,355","5,174",0,0,"184,355","5,174",Final,,,,
202201,301920000,"Fish; live, eels (anguilla spp.)",KGM,"89,491","7,340",0,0,"89,491","7,340",Final,,,,
202201,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"6,003,122","335,201",0,0,"6,003,122","335,201",Final,,,,
