Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201907,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"58,595","3,401",0,0,"58,595","3,401",Final,,,,
201907,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"167,986","20,998",0,0,"167,986","20,998",Final,,,,
201907,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"126,031","15,004",0,0,"126,031","15,004",Final,,,,
201907,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"209,243","23,485",0,0,"209,243","23,485",Final,,,,
201907,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,538,845","175,642",0,0,"1,538,845","175,642",Final,,,,
201907,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"302,662","33,368",0,0,"302,662","33,368",Final,,,,
201907,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"26,369","2,379",0,0,"26,369","2,379",Final,,,,
201907,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"915,700","119,250",0,0,"915,700","119,250",Final,,,,
201907,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"188,443","36,888",0,0,"188,443","36,888",Final,,,,
201907,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"498,548","90,955",0,0,"498,548","90,955",Final,,,,
201907,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"712,831","103,544",0,0,"712,831","103,544",Final,,,,
201907,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"78,308","13,744",0,0,"78,308","13,744",Final,,,,
201907,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"8,126,699","1,143,026",0,0,"8,126,699","1,143,026",Final,,,,
201907,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"9,749","1,388",0,0,"9,749","1,388",Final,,,,
201907,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"124,905,250","12,249,978",0,0,"124,905,250","12,249,978",Final,,,,
201907,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"16,909,058","2,467,602",0,0,"16,909,058","2,467,602",Final,,,,
201907,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"24,166,088","2,060,811",0,0,"24,166,088","2,060,811",Final,,,,
201907,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"3,042,611","315,269",0,0,"3,042,611","315,269",Final,,,,
201907,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"3,310,886","336,965",0,0,"3,310,886","336,965",Final,,,,
201907,206100019,"Offal, edible; of bovine animals, livers, fresh or chilled",KGM,"1,372",688,0,0,"1,372",688,Final,,,,
201907,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"277,425","16,558",0,0,"277,425","16,558",Final,,,,
201907,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"525,388","48,034",0,0,"525,388","48,034",Final,,,,
201907,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"4,390,261","592,401",0,0,"4,390,261","592,401",Final,,,,
201907,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"935,923","768,680",0,0,"935,923","768,680",Final,,,,
201907,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,009,626","358,962",0,0,"1,009,626","358,962",Final,,,,
201907,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"371,706","110,962",0,0,"371,706","110,962",Final,,,,
201907,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"10,605,545","1,719,641",0,0,"10,605,545","1,719,641",Final,,,,
201907,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"26,564","2,310",0,0,"26,564","2,310",Final,,,,
201907,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"503,729","167,593",0,0,"503,729","167,593",Final,,,,
201907,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"924,314","94,430",0,0,"924,314","94,430",Final,,,,
201907,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"736,653","485,373",0,0,"736,653","485,373",Final,,,,
201907,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"92,114","11,961",0,0,"92,114","11,961",Final,,,,
201907,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"102,160","14,344",0,0,"102,160","14,344",Final,,,,
201907,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,485,601","215,554",0,0,"1,485,601","215,554",Final,,,,
201907,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"34,545","16,000",0,0,"34,545","16,000",Final,,,,
201907,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"141,652","70,920",0,0,"141,652","70,920",Final,,,,
201907,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"5,326",874,0,0,"5,326",874,Final,,,,
201907,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"580,825","114,388",0,0,"580,825","114,388",Final,,,,
201907,206900081,"Offal, edible; of goats, horses, asses, mules or hinnies, hearts, frozen",KGM,373,112,0,0,373,112,Final,,,,
201907,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"2,572",727,0,0,"2,572",727,Final,,,,
201907,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"10,555","1,500",0,0,"10,555","1,500",Final,,,,
