Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201903,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"5,126,329","612,891",0,0,"5,126,329","612,891",Final,,,,
201903,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"83,269","10,283",0,0,"83,269","10,283",Final,,,,
201903,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"66,378","6,970",0,0,"66,378","6,970",Final,,,,
201903,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"1,045,980","214,676",0,0,"1,045,980","214,676",Final,,,,
201903,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"1,165,657","227,940",0,0,"1,165,657","227,940",Final,,,,
201903,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"2,684,263","448,236",0,0,"2,684,263","448,236",Final,,,,
201903,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"1,016,002","159,365",0,0,"1,016,002","159,365",Final,,,,
201903,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"18,394,102","2,751,624",0,0,"18,394,102","2,751,624",Final,,,,
201903,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"302,010","47,779",0,0,"302,010","47,779",Final,,,,
201903,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"261,422,999","29,894,593",0,0,"261,422,999","29,894,593",Final,,,,
201903,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"32,520,396","5,191,895",0,0,"32,520,396","5,191,895",Final,,,,
201903,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"41,711,336","3,838,920",0,0,"41,711,336","3,838,920",Final,,,,
201903,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"10,094,181","1,035,151",0,0,"10,094,181","1,035,151",Final,,,,
201903,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"468,935","57,837",0,0,"468,935","57,837",Final,,,,
201903,206100011,"Offal, edible; of bovine animals, kidneys, fresh or chilled",KGM,832,101,0,0,832,101,Final,,,,
201903,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"235,514","18,798",0,0,"235,514","18,798",Final,,,,
201903,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"544,254","53,045",0,0,"544,254","53,045",Final,,,,
201903,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"3,911,033","739,670",0,0,"3,911,033","739,670",Final,,,,
201903,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,378,680","1,174,528",0,0,"1,378,680","1,174,528",Final,,,,
201903,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,031,219","379,391",0,0,"1,031,219","379,391",Final,,,,
201903,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"283,080","126,781",0,0,"283,080","126,781",Final,,,,
201903,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"20,410","1,608",0,0,"20,410","1,608",Final,,,,
201903,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"13,348,661","2,341,846",0,0,"13,348,661","2,341,846",Final,,,,
201903,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"26,923","2,536",0,0,"26,923","2,536",Final,,,,
201903,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"1,068,002","387,433",0,0,"1,068,002","387,433",Final,,,,
201903,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"2,210,705","303,275",0,0,"2,210,705","303,275",Final,,,,
201903,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,462,625","946,834",0,0,"1,462,625","946,834",Final,,,,
201903,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"227,479","33,315",0,0,"227,479","33,315",Final,,,,
201903,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"323,892","63,276",0,0,"323,892","63,276",Final,,,,
201903,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"3,356,352","550,294",0,0,"3,356,352","550,294",Final,,,,
201903,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"56,803","17,188",0,0,"56,803","17,188",Final,,,,
201903,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"951,973","547,815",0,0,"951,973","547,815",Final,,,,
201903,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"29,843","5,536",0,0,"29,843","5,536",Final,,,,
201903,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"1,020,748","243,744",0,0,"1,020,748","243,744",Final,,,,
201903,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"7,954","1,442",0,0,"7,954","1,442",Final,,,,
201903,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"513,427","157,085",0,0,"513,427","157,085",Final,,,,
201903,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"280,237","34,262",0,0,"280,237","34,262",Final,,,,
201903,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"4,610,304","1,163,066",0,0,"4,610,304","1,163,066",Final,,,,
201903,207240000,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",KGM,593,21,0,0,593,21,Final,,,,
201903,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"23,668","8,630",0,0,"23,668","8,630",Final,,,,
201903,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"5,599",792,0,0,"5,599",792,Final,,,,
201903,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"5,491",223,0,0,"5,491",223,Final,,,,
201903,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"988,778","12,408",0,0,"988,778","12,408",Final,,,,
201903,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"855,115","3,435",0,0,"855,115","3,435",Final,,,,
201903,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"289,444","40,191",0,0,"289,444","40,191",Final,,,,
201903,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"2,538,811","80,333",0,0,"2,538,811","80,333",Final,,,,
201903,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"25,168,318","1,790,714",0,0,"25,168,318","1,790,714",Final,,,,
201903,208900049,"Meat and edible meat offal; n.e.c. in chapter 02, fresh, chilled or frozen",KGM,"4,138",121,0,0,"4,138",121,Final,,,,
201903,210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"2,704",300,0,0,"2,704",300,Final,,,,
201903,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,182,26,0,0,182,26,Final,,,,
201903,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"101,126","11,344",718,67,"101,844","11,411",Final,,,,
201903,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"55,024","9,983",0,0,"55,024","9,983",Final,,,,
201903,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"1,460",165,0,0,"1,460",165,Final,,,,
201903,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"872,933","2,385",0,0,"872,933","2,385",Final,,,,
201903,301190000,"Fish; live, ornamental, other than freshwater",KGM,"30,420",550,0,0,"30,420",550,Final,,,,
201903,301920000,"Fish; live, eels (anguilla spp.)",KGM,"231,717","14,236",0,0,"231,717","14,236",Final,,,,
201903,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"6,097,764","300,647",0,0,"6,097,764","300,647",Final,,,,
201903,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"649,649","30,628",0,0,"649,649","30,628",Final,,,,
201903,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"203,623","9,339",0,0,"203,623","9,339",Final,,,,
201903,302230029,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,414",60,0,0,"1,414",60,Final,,,,
201903,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"8,628","1,111",0,0,"8,628","1,111",Final,,,,
201903,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,144,13,0,0,144,13,Final,,,,
201903,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"85,746","8,383",0,0,"85,746","8,383",Final,,,,
201903,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"3,546",345,0,0,"3,546",345,Final,,,,
201903,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,870,135,0,0,870,135,Final,,,,
201903,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"25,851","2,929",0,0,"25,851","2,929",Final,,,,
201903,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"113,565","8,841",0,0,"113,565","8,841",Final,,,,
201903,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,41,4,0,0,41,4,Final,,,,
201903,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"5,559",658,0,0,"5,559",658,Final,,,,
201903,302310011,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,618,42,0,0,618,42,Final,,,,
201903,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,475",356,0,0,"2,475",356,Final,,,,
201903,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"70,658","6,945",0,0,"70,658","6,945",Final,,,,
