Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201906,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"79,780","7,590",0,0,"79,780","7,590",Final,,,,
201906,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"2,601",321,0,0,"2,601",321,Final,,,,
201906,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"15,853",368,0,0,"15,853",368,Final,,,,
201906,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"16,145","1,431",0,0,"16,145","1,431",Final,,,,
201906,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"30,499","1,090",0,0,"30,499","1,090",Final,,,,
201906,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"61,171","3,402",0,0,"61,171","3,402",Final,,,,
201906,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"947,063","62,234",0,0,"947,063","62,234",Final,,,,
201906,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,"929,081","82,236",0,0,"929,081","82,236",Final,,,,
201906,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,"1,265",115,0,0,"1,265",115,Final,,,,
201906,302430010,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), whole",KGM,"1,502",116,0,0,"1,502",116,Final,,,,
201906,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"339,961","29,733",0,0,"339,961","29,733",Final,,,,
201906,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,155,11,0,0,155,11,Final,,,,
201906,302510029,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,401,20,0,0,401,20,Final,,,,
201906,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"17,834","2,835",0,0,"17,834","2,835",Final,,,,
201906,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"3,145",163,0,0,"3,145",163,Final,,,,
201906,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"7,678",843,0,0,"7,678",843,Final,,,,
201906,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"16,118","1,195",0,0,"16,118","1,195",Final,,,,
201906,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"3,978",244,0,0,"3,978",244,Final,,,,
201906,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,011",372,0,0,"5,011",372,Final,,,,
201906,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"58,700","6,316",0,0,"58,700","6,316",Final,,,,
201906,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"96,478","13,610",0,0,"96,478","13,610",Final,,,,
201906,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"23,847","2,328",0,0,"23,847","2,328",Final,,,,
201906,302820029,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"99,817","16,825",0,0,"99,817","16,825",Final,,,,
