Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202203,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"150,665","6,794",0,0,"150,665","6,794",Final,,,
202203,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"571,364","43,714",0,0,"571,364","43,714",Final,,,
202203,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Viet Nam,"27,669","1,791",0,0,"27,669","1,791",Final,,,
202203,202100019,"Meat; of bovine animals, half-carcasses n.e.c. in item no. 0202.10, frozen",KGM,United States of America,"15,704","1,824",0,0,"15,704","1,824",Final,,,
202203,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"Samoa, American","94,679","13,029",0,0,"94,679","13,029",Final,,,
202203,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"Korea, Republic of","223,087","24,455",0,0,"223,087","24,455",Final,,,
202203,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Malaysia,"152,427","17,033",0,0,"152,427","17,033",Final,,,
202203,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Papua New Guinea,"14,333",712,0,0,"14,333",712,Final,,,
202203,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Philippines,"69,630","22,000",0,0,"69,630","22,000",Final,,,
202203,202200009,"Meat; of bovine animals, beef quarters of steer and heifer, G grade, with bone in, frozen",KGM,"Korea, Republic of","65,014","22,993",0,0,"65,014","22,993",Final,,,
202203,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"China, People's Republic of","850,732","121,096",0,0,"850,732","121,096",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Bermuda,"9,214",785,0,0,"9,214",785,Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Cook Islands,"15,654","1,830",0,0,"15,654","1,830",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","14,580,658","2,022,734",0,0,"14,580,658","2,022,734",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Micronesia, Federated States of","19,405","1,250",0,0,"19,405","1,250",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Indonesia,"15,268",969,0,0,"15,268",969,Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"3,711",199,0,0,"3,711",199,Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","5,375,946","580,660",0,0,"5,375,946","580,660",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"430,486","47,135",0,0,"430,486","47,135",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Oman,"50,498","3,151",0,0,"50,498","3,151",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"21,282",971,0,0,"21,282",971,Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Papua New Guinea,"22,936","3,537",0,0,"22,936","3,537",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Singapore,"69,373","4,500",0,0,"69,373","4,500",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Thailand,"63,943","3,956",0,0,"63,943","3,956",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Tonga,"211,588","34,507",0,0,"211,588","34,507",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Taiwan,"49,641","11,246",0,0,"49,641","11,246",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"23,848","15,994",0,0,"23,848","15,994",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Viet Nam,"48,678","25,078",0,0,"48,678","25,078",Final,,,
202203,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Samoa,"47,357","8,308",0,0,"47,357","8,308",Final,,,
