Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202303,101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"35,000",1,0,0,"35,000",1,Provisional,,,,
202303,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"5,929,727","2,265,267",0,0,"5,929,727","2,265,267",Provisional,,,,
202303,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"8,816,664","1,379,709",0,0,"8,816,664","1,379,709",Provisional,,,,
202303,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"78,230","6,941",0,0,"78,230","6,941",Provisional,,,,
202303,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"1,597,869","285,421",0,0,"1,597,869","285,421",Provisional,,,,
202303,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"185,630,599","21,225,748","1,360,067","181,593","186,990,666","21,407,341",Provisional,,,,
202303,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"12,152,369","1,681,382",0,0,"12,152,369","1,681,382",Provisional,,,,
202303,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"121,882,963","13,363,114",0,0,"121,882,963","13,363,114",Provisional,,,,
202303,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"988,675","131,721",0,0,"988,675","131,721",Provisional,,,,
202303,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,"195,168","90,980",0,0,"195,168","90,980",Provisional,,,,
202303,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"8,663",769,0,0,"8,663",769,Provisional,,,,
202303,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,"31,845","3,721",0,0,"31,845","3,721",Provisional,,,,
202303,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"60,881","6,286","6,093",725,"66,974","7,011",Provisional,,,,
202303,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"426,046","66,069",0,0,"426,046","66,069",Provisional,,,,
202303,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"66,458","5,006",0,0,"66,458","5,006",Provisional,,,,
202303,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"71,942","5,432",0,0,"71,942","5,432",Provisional,,,,
202303,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"39,189,334","2,200,177",0,0,"39,189,334","2,200,177",Provisional,,,,
202303,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"38,062","4,848",0,0,"38,062","4,848",Provisional,,,,
202303,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"22,699,924","1,190,890",0,0,"22,699,924","1,190,890",Provisional,,,,
202303,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"8,644",346,0,0,"8,644",346,Provisional,,,,
202303,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"518,117","56,666",0,0,"518,117","56,666",Provisional,,,,
202303,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"65,556","7,337",0,0,"65,556","7,337",Provisional,,,,
202303,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"35,709","3,386",0,0,"35,709","3,386",Provisional,,,,
202303,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"716,029","77,016",0,0,"716,029","77,016",Provisional,,,,
202303,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,997,143","217,332",0,0,"1,997,143","217,332",Provisional,,,,
202303,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"45,777","4,799",0,0,"45,777","4,799",Provisional,,,,
202303,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"1,933",150,0,0,"1,933",150,Provisional,,,,
202303,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"686,434","130,977",0,0,"686,434","130,977",Provisional,,,,
202303,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"672,867","127,386",0,0,"672,867","127,386",Provisional,,,,
202303,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"3,854,210","639,653",0,0,"3,854,210","639,653",Provisional,,,,
202303,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"322,102","50,946",0,0,"322,102","50,946",Provisional,,,,
202303,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"16,932,088","2,766,504",0,0,"16,932,088","2,766,504",Provisional,,,,
202303,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"1,168,057","195,047",0,0,"1,168,057","195,047",Provisional,,,,
202303,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"240,024,316","24,488,766",0,0,"240,024,316","24,488,766",Provisional,,,,
202303,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"54,349,139","8,830,971",0,0,"54,349,139","8,830,971",Provisional,,,,
202303,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"42,129,398","3,342,577",0,0,"42,129,398","3,342,577",Provisional,,,,
202303,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"7,516,324","580,057",0,0,"7,516,324","580,057",Provisional,,,,
202303,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"584,486","48,236",0,0,"584,486","48,236",Provisional,,,,
