Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201902,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"26,745",701,0,0,"26,745",701,Final,,,,
201902,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"223,878","10,845",0,0,"223,878","10,845",Final,,,,
201902,301920000,"Fish; live, eels (anguilla spp.)",KGM,"172,721","10,775",0,0,"172,721","10,775",Final,,,,
201902,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,193,312","250,984",0,0,"5,193,312","250,984",Final,,,,
201902,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"603,903","29,540",0,0,"603,903","29,540",Final,,,,
201902,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"170,982","8,238",0,0,"170,982","8,238",Final,,,,
201902,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"5,187",584,0,0,"5,187",584,Final,,,,
201902,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,488,41,0,0,488,41,Final,,,,
201902,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"95,709","10,247",0,0,"95,709","10,247",Final,,,,
201902,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"3,543",331,0,0,"3,543",331,Final,,,,
201902,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,81,13,0,0,81,13,Final,,,,
201902,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"1,835",200,0,0,"1,835",200,Final,,,,
201902,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"3,838",540,0,0,"3,838",540,Final,,,,
201902,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"98,528","7,316",0,0,"98,528","7,316",Final,,,,
201902,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,31,3,0,0,31,3,Final,,,,
201902,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,592,85,0,0,592,85,Final,,,,
201902,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"1,037",102,0,0,"1,037",102,Final,,,,
201902,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,799",259,0,0,"1,799",259,Final,,,,
201902,302330001,"Fish; fresh or chilled, skipjack or stripe-bellied bonito, whole",KGM,163,15,0,0,163,15,Final,,,,
201902,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"5,396",269,0,0,"5,396",269,Final,,,,
201902,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"85,016","8,226",0,0,"85,016","8,226",Final,,,,
201902,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"35,723","3,511",0,0,"35,723","3,511",Final,,,,
201902,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"4,066",402,0,0,"4,066",402,Final,,,,
201902,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"160,683","14,045",0,0,"160,683","14,045",Final,,,,
201902,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,"3,314",329,0,0,"3,314",329,Final,,,,
201902,302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,186,14,0,0,186,14,Final,,,,
201902,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"153,803","11,641",0,0,"153,803","11,641",Final,,,,
201902,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,344",378,0,0,"3,344",378,Final,,,,
201902,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,338,25,0,0,338,25,Final,,,,
201902,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"10,884","1,801",0,0,"10,884","1,801",Final,,,,
201902,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"6,598",390,0,0,"6,598",390,Final,,,,
201902,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"1,030",143,0,0,"1,030",143,Final,,,,
201902,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,166,11,0,0,166,11,Final,,,,
201902,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"1,443",75,0,0,"1,443",75,Final,,,,
201902,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,172",180,0,0,"3,172",180,Final,,,,
201902,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"155,098","17,379",0,0,"155,098","17,379",Final,,,,
201902,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"154,167","20,791",0,0,"154,167","20,791",Final,,,,
201902,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"70,586","7,572",0,0,"70,586","7,572",Final,,,,
201902,302820029,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,141,10,0,0,141,10,Final,,,,
201902,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,566,556","247,636",0,0,"2,566,556","247,636",Final,,,,
201902,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"348,684","23,029",0,0,"348,684","23,029",Final,,,,
201902,302891015,"Fish; fresh or chilled, groper, whole",KGM,"393,425","27,082",0,0,"393,425","27,082",Final,,,,
201902,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"17,783","1,862",0,0,"17,783","1,862",Final,,,,
201902,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"385,789","35,571",0,0,"385,789","35,571",Final,,,,
