Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202506,6806900008,"Heat or sound-insulating or sound absorbing mineral materials; mixtures and articles, other than ceiling tiles and panels, excluding those of heading no. 6811, 6812 or chapter 69",KGM,"11,894",440,0,0,"11,894",440,Final
202506,6807100000,Asphalt or similar material; articles (e.g. petroleum bitumen or coal tar pitch) in rolls,,0,,"2,046",,"2,046",,Final
202506,6807900000,Asphalt or similar material; articles (e.g. petroleum bitumen or coal tar pitch) other than in rolls,,"8,032",,0,,"8,032",,Final
202506,6808000000,"Panels, boards, tiles, blocks and the like; of vegetable fibre, of straw, shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders",,0,,744,,744,,Final
202506,6809110010,"Plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, faced or reinforced with paper or paperboard only, not ornamented",MTK,"312,601","42,954",0,0,"312,601","42,954",Final
202506,6809190010,"Plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, (other than faced or reinforced with paper or paperboard only), not ornamented",MTK,"1,856",6,0,0,"1,856",6,Final
202506,6809900005,"Plaster and plaster composition articles; architectural mouldings and cornices, ornamented",MTR,119,36,0,0,119,36,Final
202506,6809900006,"Plaster and plaster composition articles; articles n.e.c. in heading no. 6809, ornamented",NMB,388,50,0,0,388,50,Final
202506,6810110000,"Cement, concrete or artificial stone; building blocks or bricks, whether or not reinforced",,"51,968",,0,,"51,968",,Final
202506,6810190000,"Cement, concrete or artificial stone; tiles, flagstones and similar, (excluding building bricks and blocks) whether or not reinforced",,"3,265",,69,,"3,334",,Final
202506,6810990009,"Cement, concrete or artificial stone; articles (other than prefabricated structural components for building or civil engineering), n.e.c. in heading no. 6810, other than pipes, whether or not reinforced",,"70,261",,0,,"70,261",,Final
202506,6811820010,"Cellulose fibre-cement; sheets, plain (other than corrugated sheets), not containing asbestos",MTK,"8,807",191,0,0,"8,807",191,Final
202506,6811820019,"Cellulose fibre-cement; sheets, panels, tiles and similar articles (other than plain sheets and corrugated sheets), not containing asbestos",,0,,"1,111",,"1,111",,Final
202506,6813200100,"Brake linings and pads; in the piece, with a basis of asbestos, of other mineral substances or of cellulose, whether or not combined with textile or other materials, unmounted",,0,,150,,150,,Final
202506,6813811900,"Brake linings and pads; drilled, (not in the piece), not containing asbestos, of other mineral substances or of cellulose, whether or not combined with textile or other materials, unmounted",,"2,116",,"1,244",,"3,360",,Final
202506,6813890900,"Clutch facings; undrilled, of annular shape, whether or not holed for fixing or mounting, not containing asbestos, of other mineral substances or of cellulose, whether or not combined with textile or other materials, unmounted",,0,,406,,406,,Final
202506,6813893900,"Friction material, articles thereof; drilled, (not in the piece), not containing asbestos, of other mineral substances or of cellulose, unmounted, n.e.c. in item no. 6813.89",,0,,"2,224",,"2,224",,Final
202506,6815110000,Stone or other mineral substances not elsewhere specified or included; carbon fibres for non-electrical uses,,"115,432",,0,,"115,432",,Final
202506,6815120000,Stone or other mineral substances not elsewhere specified or included; fabrics of carbon fibres for non-electrical uses,,0,,"392,845",,"392,845",,Final
202506,6815130000,Stone or other mineral substances not elsewhere specified or included; articles of carbon fibres for non-electrical uses,,"6,149,226",,"143,384",,"6,292,610",,Final
202506,6815190000,Stone or other mineral substances not elsewhere specified or included; non-electrical articles of graphite or carbon n.e.c. in heading 6815,,"374,060",,301,,"374,361",,Final
202506,6815200000,Peat; articles of peat n.e.c. or included,,"13,167",,0,,"13,167",,Final
202506,6815990010,Stone articles and articles of other mineral substances; n.e.c. or included in heading no. 6815,,"8,976",,187,,"9,163",,Final
202506,6902900115,"Bricks; n.e.c. in item no. 6902.1 or 6902.2, (excluding those of siliceous fossil meals or similar earths), containing more than 10% but not more than 25% by weight of alumina",KGM,74,15,0,0,74,15,Final
202506,6902900903,"Refractory blocks; lightweight insulating blocks, tiles and the like, with a density not exceeding 1500kg/m3",KGM,0,0,"3,440",610,"3,440",610,Final
202506,6902900928,"Refractory blocks, tiles and similar refractory ceramic constructional goods; other than bricks, n.e.c. in item no. 6902.1 or 6902.2, containing less than 10% or more than 40% by weight of alumina, not of siliceous fossil meals or similar earths",KGM,"29,799",51,0,0,"29,799",51,Final
202506,6903900009,"Nozzles, tubes, sheaths and pipes; composition of which n.e.c. in heading no. 6903, excluding those of siliceous fossil meals or similar earths",NMB,"38,027",117,0,0,"38,027",117,Final
202506,6903900019,"Retorts, muffles, plugs, supports, cupels and rods; composition of which n.e.c. in heading no. 6903, excluding those of siliceous fossil meals or similar earths",,0,,"6,750",,"6,750",,Final
202506,6904900000,"Ceramic flooring blocks, supports or filler tiles and the like (excluding building bricks)",NMB,"2,000",760,0,0,"2,000",760,Final
202506,6905100000,Ceramic roofing tiles,,0,,185,,185,,Final
202506,6906000000,"Ceramic pipes, conduits, guttering and pipe fittings",KGM,"1,491",221,0,0,"1,491",221,Final
202506,6907211910,"Ceramic tiles; of a water absorption coefficient by weight not over 0.5%, with the largest surface area greater than or equal to a 7cm square, of a thickness not over 50mm",MTK,0,0,"29,757",407,"29,757",407,Final
202506,6907211919,"Ceramic tiles; of a water absorption coefficient by weight not over 0.5%, with the largest surface area greater than or equal to a 7cm square, of a thickness over 50mm",MTK,"3,494",600,0,0,"3,494",600,Final
202506,6907401919,"Finishing ceramics; with the largest surface area greater than or equal to a 7cm square, of a thickness over 50mm",MTK,0,0,"14,400",487,"14,400",487,Final
202506,6909190010,"Ceramic wares; (other than filter elements) for laboratory, chemical or other technical uses, other than articles having a hardness equivalent to 9 or more on the Mohs scale or of porcelain or china",,"43,955",,"11,217",,"55,172",,Final
202506,6910100001,Ceramic wash basins; of porcelain or china,NMB,297,50,"2,386",10,"2,683",60,Final
202506,6910100011,Ceramic water closet pan cistern combination; of porcelain or china,NMB,"2,400",8,0,0,"2,400",8,Final
202506,6910100019,"Ceramic water closet pans; (excluding pan cistern combination), of porcelain or china",NMB,0,0,"1,420",2,"1,420",2,Final
202506,6910100021,Ceramic flushing cisterns; of porcelain or china,NMB,0,0,"12,530",72,"12,530",72,Final
202506,6910100029,"Ceramic sinks, wash basin pedestals, baths, bidets, urinals and similar sanitary fixtures; (excluding wash basins, water closet pans and flushing cisterns), of porcelain or china",NMB,0,0,50,5,50,5,Final
202506,6910900001,Ceramic wash basins; of other than porcelain or china,NMB,0,0,950,9,950,9,Final
202506,6910900009,Ceramic water closet pans; of other than porcelain or china,NMB,0,0,"30,580",200,"30,580",200,Final
202506,6910900019,"Ceramic sinks, wash basin pedestals, baths, bidets, flushing cisterns, urinals and similar sanitary fixtures; (excluding wash basins and water closet pans), of other than porcelain or china",NMB,0,0,"11,678",1,"11,678",1,Final
202506,6911100102,"Tableware and kitchenware; of porcelain or china, coffee mugs",DZN,957,20,0,0,957,20,Final
202506,6911100118,"Tableware and kitchenware; of porcelain or china, cups, saucers, flat or deep plates, other than in sets",NMB,"14,074","3,356","11,589",449,"25,663","3,805",Final
202506,6911100122,"Tableware and kitchenware; of porcelain or china, breakfast, dinner, tea or coffee sets and the like",NMB,0,0,190,20,190,20,Final
202506,6911100132,"Tableware and kitchenware; of porcelain or china, other tableware n.e.c. in item no. 6911.10.01",NMB,0,0,"10,387",21,"10,387",21,Final
202506,6911100900,"Kitchenware; n.e.c. in heading no. 6911, of porcelain or china",KGM,589,29,0,0,589,29,Final
202506,6911900000,"Household and toilet articles; n.e.c. in heading no. 6911, of porcelain or china",KGM,0,0,824,33,824,33,Final
202506,6912000102,"Ceramic tableware and kitchenware; (other than of porcelain or china), coffee mugs",DZN,"2,000",67,"88,141","1,152","90,141","1,218",Final
202506,6912000118,"Ceramic tableware and kitchenware; (other than of porcelain or china), cups, saucers, flat or deep plates, other than in sets",NMB,"1,450",152,168,22,"1,618",174,Final
202506,6912000122,"Ceramic tableware and kitchenware; (other than of porcelain or china), breakfast, dinner, tea or coffee sets and the like",NMB,100,96,478,1,578,97,Final
202506,6912000132,"Ceramic tableware and kitchenware; (other than of porcelain or china), other tableware n.e.c. in item no. 6912.00.01",NMB,"3,601",630,268,16,"3,869",646,Final
202506,6912000138,"Ceramic tableware and kitchenware; (other than of porcelain or china), cooking utensils",NMB,0,0,"1,080",1,"1,080",1,Final
202506,6912000900,"Ceramic household and toilet articles; (other than of porcelain or china), n.e.c. in heading no. 6912",KGM,"15,607","15,760","2,986",206,"18,593","15,966",Final
202506,6913100909,"Ceramic statuettes and other ornamental ceramic articles; n.e.c. in item no. 6913.10, of porcelain or china",,0,,"17,963",,"17,963",,Final
202506,6913900901,"Ceramic artificial flowers, leaves and sprays; other than of porcelain or china",,"12,150",,0,,"12,150",,Final
202506,6913900909,"Ceramic statuettes and other ornamental ceramic articles; n.e.c. in item no. 6913.90, of other than porcelain or china",,"7,104",,"205,293",,"212,397",,Final
202506,6914100900,Ceramic articles n.e.c. in chapter 69; of porcelain or china,,0,,"1,464",,"1,464",,Final
202506,6914900900,Ceramic articles n.e.c. in chapter 69; other than of porcelain or china,,"2,213,070",,"5,614",,"2,218,684",,Final
202506,7001000000,"Glass; cullet and other waste and scrap of glass, excluding glass from cathode ray tubes or other activated glass of heading 85.49, glass in the mass",,"63,364",,0,,"63,364",,Final
202506,7002320000,"Glass; unworked, tubes, of glass having a linear coefficient of expansion not exceeding 5 x 10 (to the minus 6), (or 0.000005) per Kelvin within a temperature range of 0-300 degrees C",,0,,431,,431,,Final
202506,7004900029,"Glass; drawn and blown, in sheets, (not coloured throughout the mass, opacified, flashed or having an absorbent reflecting or non-reflecting layer), n.e.c. in item no. 7004.90",MTK,630,2,0,0,630,2,Final
202506,7005290029,"Glass; float, non-wired, clear, nominal thickness exceeding 6mm, (not coloured throughout, opacified, flashed or merely surface ground)",MTK,"3,737",4,0,0,"3,737",4,Final
202506,7007110201,"Glass; safety glass, toughened (tempered), for use in the assembly of motor vehicles of heading no. 8703 and other vehicles of heading no. 8704, (of a g.v.w. not exceeding 3,500 kg), as determined by the minister",NMB,"312,250",164,0,0,"312,250",164,Final
202506,7007110901,"Glass; safety glass, toughened (tempered), for incorporation in motor vehicles, other than as may be determined by the minister",NMB,"3,280",2,0,0,"3,280",2,Final
202506,7007111900,"Glass; safety glass, toughened (tempered), for incorporation in aircraft, spacecraft or vessels",MTK,"2,395",2,0,0,"2,395",2,Final
