Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201909,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"27,759","3,585",0,0,"27,759","3,585",Final,,,,
201909,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"116,649,609","11,139,288",0,0,"116,649,609","11,139,288",Final,,,,
201909,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"9,513,940","1,353,630",0,0,"9,513,940","1,353,630",Final,,,,
201909,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"22,231,879","1,998,399",0,0,"22,231,879","1,998,399",Final,,,,
201909,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"2,896,613","284,571",0,0,"2,896,613","284,571",Final,,,,
201909,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"2,143,217","167,106",0,0,"2,143,217","167,106",Final,,,,
201909,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"240,585","12,166",0,0,"240,585","12,166",Final,,,,
201909,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"595,994","50,184",0,0,"595,994","50,184",Final,,,,
201909,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"2,674,646","382,764",0,0,"2,674,646","382,764",Final,,,,
201909,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"999,988","706,129",0,0,"999,988","706,129",Final,,,,
201909,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"856,335","264,036",0,0,"856,335","264,036",Final,,,,
201909,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"421,819","121,718",0,0,"421,819","121,718",Final,,,,
201909,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"246,006","19,525",0,0,"246,006","19,525",Final,,,,
201909,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"6,116,383","1,072,213",0,0,"6,116,383","1,072,213",Final,,,,
201909,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"5,620","1,909",0,0,"5,620","1,909",Final,,,,
201909,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"175,971","15,294",0,0,"175,971","15,294",Final,,,,
201909,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"304,252","98,632",0,0,"304,252","98,632",Final,,,,
201909,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,163,364","109,143",0,0,"1,163,364","109,143",Final,,,,
201909,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"483,793","289,731",0,0,"483,793","289,731",Final,,,,
201909,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"40,251","5,531",0,0,"40,251","5,531",Final,,,,
201909,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"128,602","16,717",0,0,"128,602","16,717",Final,,,,
201909,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,582,032","241,364",0,0,"1,582,032","241,364",Final,,,,
201909,206900041,"Offal, edible; of sheep (excluding lamb), brains, frozen",KGM,"12,500","1,002",0,0,"12,500","1,002",Final,,,,
201909,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"307,919","156,659",0,0,"307,919","156,659",Final,,,,
201909,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"20,840","2,505",0,0,"20,840","2,505",Final,,,,
201909,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"275,283","56,660",0,0,"275,283","56,660",Final,,,,
201909,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"1,584",427,0,0,"1,584",427,Final,,,,
201909,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"19,549","3,425",0,0,"19,549","3,425",Final,,,,
201909,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"658,983","207,086",0,0,"658,983","207,086",Final,,,,
201909,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"353,641","31,780",0,0,"353,641","31,780",Final,,,,
201909,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,382,047","754,248",0,0,"2,382,047","754,248",Final,,,,
201909,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"48,278","6,871",0,0,"48,278","6,871",Final,,,,
201909,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"20,282","6,630",0,0,"20,282","6,630",Final,,,,
201909,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"55,716","8,613",0,0,"55,716","8,613",Final,,,,
201909,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"32,113","1,580",0,0,"32,113","1,580",Final,,,,
201909,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"630,537","6,527",0,0,"630,537","6,527",Final,,,,
201909,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"371,790","1,741",0,0,"371,790","1,741",Final,,,,
201909,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"488,177","27,953",0,0,"488,177","27,953",Final,,,,
201909,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"3,725,931","146,842",0,0,"3,725,931","146,842",Final,,,,
201909,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"5,847,628","402,089",0,0,"5,847,628","402,089",Final,,,,
201909,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"10,170","1,397",0,0,"10,170","1,397",Final,,,,
201909,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"80,492","6,701",0,0,"80,492","6,701",Final,,,,
201909,210190011,"Meat; of swine, pork n.e.c. in heading 0210, salted or pickled",KGM,548,35,0,0,548,35,Final,,,,
201909,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,213,1,0,0,213,1,Final,,,,
201909,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"5,194","2,110",336,8,"5,530","2,118",Final,,,,
201909,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"14,931",337,0,0,"14,931",337,Final,,,,
201909,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"882,230","1,707",0,0,"882,230","1,707",Final,,,,
201909,301920000,"Fish; live, eels (anguilla spp.)",KGM,"132,759","8,033",0,0,"132,759","8,033",Final,,,,
201909,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,225,439","231,781",0,0,"5,225,439","231,781",Final,,,,
201909,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"485,475","23,529",0,0,"485,475","23,529",Final,,,,
201909,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"922,218","48,884",0,0,"922,218","48,884",Final,,,,
201909,302230029,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,943,40,0,0,943,40,Final,,,,
201909,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"22,358","2,609",0,0,"22,358","2,609",Final,,,,
201909,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"10,150","1,339",0,0,"10,150","1,339",Final,,,,
201909,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"143,037","12,852",0,0,"143,037","12,852",Final,,,,
201909,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"4,233",494,0,0,"4,233",494,Final,,,,
201909,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,"1,787",188,0,0,"1,787",188,Final,,,,
201909,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"70,968","6,083",0,0,"70,968","6,083",Final,,,,
201909,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,54,5,0,0,54,5,Final,,,,
201909,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,749,103,0,0,749,103,Final,,,,
201909,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,447,63,0,0,447,63,Final,,,,
201909,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"40,890","1,838",0,0,"40,890","1,838",Final,,,,
201909,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"28,370","2,425",0,0,"28,370","2,425",Final,,,,
201909,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"23,662","1,467",0,0,"23,662","1,467",Final,,,,
201909,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"2,760",236,0,0,"2,760",236,Final,,,,
201909,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"169,534","11,800",0,0,"169,534","11,800",Final,,,,
201909,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,"101,862","8,508",0,0,"101,862","8,508",Final,,,,
201909,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,168,14,0,0,168,14,Final,,,,
201909,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"88,133","6,834",0,0,"88,133","6,834",Final,,,,
201909,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,119,12,0,0,119,12,Final,,,,
201909,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,152,11,0,0,152,11,Final,,,,
201909,302510015,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,"3,447",206,0,0,"3,447",206,Final,,,,
201909,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"19,343","3,016",0,0,"19,343","3,016",Final,,,,
201909,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"3,540",199,0,0,"3,540",199,Final,,,,
201909,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"8,490","1,161",0,0,"8,490","1,161",Final,,,,
201909,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"26,682","1,850",0,0,"26,682","1,850",Final,,,,
201909,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"5,334",333,0,0,"5,334",333,Final,,,,
201909,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"4,167",248,0,0,"4,167",248,Final,,,,
201909,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"61,175","6,469",0,0,"61,175","6,469",Final,,,,
201909,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"248,589","32,901","9,239","1,366","257,828","34,267",Final,,,,
201909,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"16,165","1,569",0,0,"16,165","1,569",Final,,,,
201909,302820029,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,190,15,0,0,190,15,Final,,,,
201909,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,301,773","216,718",0,0,"2,301,773","216,718",Final,,,,
201909,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,569",503,0,0,"3,569",503,Final,,,,
201909,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"239,803","17,344",0,0,"239,803","17,344",Final,,,,
201909,302891015,"Fish; fresh or chilled, groper, whole",KGM,"500,614","33,836",0,0,"500,614","33,836",Final,,,,
201909,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"11,885","1,290",0,0,"11,885","1,290",Final,,,,
201909,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"141,301","11,958",0,0,"141,301","11,958",Final,,,,
201909,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"5,501",586,0,0,"5,501",586,Final,,,,
201909,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"12,558","1,454",0,0,"12,558","1,454",Final,,,,
201909,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"81,053","10,836",0,0,"81,053","10,836",Final,,,,
201909,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"11,711","1,079",0,0,"11,711","1,079",Final,,,,
201909,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"374,604","33,766",0,0,"374,604","33,766",Final,,,,
201909,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"8,309",439,0,0,"8,309",439,Final,,,,
201909,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"44,251","3,113",0,0,"44,251","3,113",Final,,,,
201909,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"16,676","3,644",0,0,"16,676","3,644",Final,,,,
201909,302892059,"Fish; fresh or chilled, yellowtail kingfish, headed and gutted",KGM,"16,166","1,685",0,0,"16,166","1,685",Final,,,,
201909,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"161,280","18,445",0,0,"161,280","18,445",Final,,,,
201909,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"11,950",738,0,0,"11,950",738,Final,,,,
201909,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"10,361",708,0,0,"10,361",708,Final,,,,
201909,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,647",790,0,0,"5,647",790,Final,,,,
201909,302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,307,21,0,0,307,21,Final,,,,
201909,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"335,978","37,154",0,0,"335,978","37,154",Final,,,,
201909,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,178,2,0,0,178,2,Final,,,,
201909,303120010,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), whole",KGM,"32,905","1,506",0,0,"32,905","1,506",Final,,,,
201909,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"175,596","8,555",0,0,"175,596","8,555",Final,,,,
201909,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"192,266","10,450",0,0,"192,266","10,450",Final,,,,
201909,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"4,035",142,0,0,"4,035",142,Final,,,,
