Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202508,0101210010,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions",NMB,"155,141",9,0,0,"155,141",9,Provisional
202508,1604200901,Fish preparations; pate,KGM,214,4,0,0,214,4,Provisional
202508,1604200909,Fish preparations; fish fingers,KGM,"1,472",152,"1,601",184,"3,073",336,Provisional
202508,1604200919,Fish preparations; fish cakes,KGM,"126,199","21,978",886,86,"127,085","22,064",Provisional
202508,1604200929,"Fish preparations; sausages, prepared meals and the like, n.e.c. in item no. 1604.20",KGM,"1,747,209","124,192","39,288","6,294","1,786,497","130,486",Provisional
202508,1604202919,"Fish preparations; fish n.e.c. in item no. 1604.20.1, minced or in forms n.e.c. in heading no. 1604, preserved in airtight cans or jars, whether or not with added liquor, oil or sauce",KGM,"325,106","18,884",0,0,"325,106","18,884",Provisional
202508,1604203900,"Fish preparations; fish, minced or in forms n.e.c. in item no. 1604.1, packed other than in airtight cans or jars",KGM,"3,066",129,"1,633",188,"4,699",317,Provisional
202508,1604310000,Fish preparations; caviar,KGM,174,1,0,0,174,1,Provisional
202508,1604320000,"Fish preparations; caviar substitutes, prepared from fish eggs",KGM,"2,426",9,0,0,"2,426",9,Provisional
202508,1605100100,"Crustacean preparations; crabs, pastes",KGM,"2,275",45,0,0,"2,275",45,Provisional
202508,1605100909,"Crustacean preparations; crabs, sausages, prepared meals and the like, excluding pastes and pate",KGM,772,86,552,57,"1,324",143,Provisional
202508,1605211000,"Crustacean preparations; shrimps and prawns, pastes, not in airtight containers",KGM,994,90,"2,609",150,"3,603",240,Provisional
202508,1605212019,"Crustacean preparations; shrimps and prawns, sausages, prepared meals and the like, excluding pastes and pate, not in airtight containers",KGM,"12,160",754,0,0,"12,160",754,Provisional
202508,1605219000,"Crustacean preparations; shrimps and prawns, prepared in was n.e.c. in item no. 1605.21.10 and 1605.21.20, not in airtight containers",KGM,0,0,"48,914","2,564","48,914","2,564",Provisional
202508,1605292019,"Crustacean preparations; shrimps and prawns, sausages, prepared meals and the like, excluding pastes and pate, in airtight containers",KGM,0,0,"2,586",167,"2,586",167,Provisional
202508,1605299000,"Crustacean preparations; shrimps and prawns, prepared or preserved in ways n.e.c. in item no. 1605.29.10 and 1605.29.20, in airtight containers",KGM,"2,040",146,"1,853",215,"3,893",361,Provisional
202508,1605301909,"Crustacean preparations; lobster, excluding rock lobster, prepared in ways n.e.c. in item no. 1605.30.01 and 1605.30.09, preserved in airtight cans or jars",KGM,0,0,2,12,2,12,Provisional
202508,1605400909,"Crustacean preparations; sausages, prepared meals and the like, excluding pastes and pate, excluding crab, shrimps, prawns, and lobster",KGM,93,8,0,0,93,8,Provisional
202508,1605401919,"Crustacean preparations; crustaceans, excluding crab, shrimps, prawns and lobster, prepared or preserved in ways n.e.c. in item no. 1605.40.01 and 1605.40.09, packed other than in airtight cans or jars",KGM,"4,029",326,0,0,"4,029",326,Provisional
202508,1605529019,"Mollusc preparations; scallops, including queen scallops, prepared or preserved in ways n.e.c. in item no. 1605.52.10 and 1605.52.20, packed other than in airtight cans or jars",KGM,"3,788",112,577,24,"4,365",136,Provisional
202508,1605532019,"Mollusc preparations; mussels, sausages, prepared meals and the like, excluding pastes or pate",KGM,"1,496",202,0,0,"1,496",202,Provisional
202508,1605539029,"Mollusc preparations; mussels, prepared or preserved in ways n.e.c. in item no. 1605.53.90, packed other than in airtight cans or jars",KGM,"842,806","101,309",837,70,"843,643","101,379",Provisional
202508,1605542029,"Mollusc preparations; cuttle fish and squid, sausages, prepared meals and the like, excluding pastes or pate",KGM,"4,324",308,"1,338",95,"5,662",403,Provisional
202508,1605549029,"Mollusc preparations; cuttle fish and squid, prepared or preserved in ways n.e.c. in item no. 1605.54.10 and 1605.54.20, packed other than in airtight cans or jars",KGM,"129,094","12,773","18,618","1,755","147,712","14,528",Provisional
202508,1605552019,"Mollusc preparations; octopus, sausages, prepared meals and the like, excluding pastes or pate",KGM,"3,148",200,0,0,"3,148",200,Provisional
202508,1605559019,"Mollusc preparations; octopus, prepared or preserved in ways n.e.c. in item no. 1605.55.10 and 1605.55.20, packed other than in airtight cans or jars",KGM,99,2,0,0,99,2,Provisional
202508,1605562019,"Mollusc preparations; clams, cockles and arkshells, sausages, prepared meals and the like, excluding pastes or pate",KGM,"2,229",120,0,0,"2,229",120,Provisional
202508,1605569019,"Mollusc preparations; clams, cockles and arkshells, prepared or preserved in ways n.e.c. in item no. 1605.56.10 and 1605.56.20, packed other than in airtight cans or jars",KGM,0,0,247,24,247,24,Provisional
202508,1605592029,"Mollusc preparations; n.e.c. in item no. 1605.5, sausages, prepared meals and the like",KGM,597,100,0,0,597,100,Provisional
202508,1605599029,"Mollusc preparations; n.e.c. in item no. 1605.5, prepared or preserved in ways n.e.c. in item no. 1605.59, otherwise packed",KGM,"2,396",200,"12,186",828,"14,582","1,028",Provisional
202508,1605691000,"Aquatic invertebrates; other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, preserved in airtight cans or jars, prepared in combination with vegetables or other food substances",KGM,150,10,0,0,150,10,Provisional
