Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202302,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"66,764","3,502",0,0,"66,764","3,502",Final,,,,
202302,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"1,617",226,0,0,"1,617",226,Final,,,,
202302,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"15,252",713,0,0,"15,252",713,Final,,,,
202302,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"5,483",520,0,0,"5,483",520,Final,,,,
202302,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,919",260,0,0,"3,919",260,Final,,,,
202302,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"3,380",195,0,0,"3,380",195,Final,,,,
202302,302740015,"Fish; fresh or chilled, eels (Anguilla spp.), headed and gutted",KGM,477,65,0,0,477,65,Final,,,,
202302,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,018",280,0,0,"5,018",280,Final,,,,
202302,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"389,024","30,867",0,0,"389,024","30,867",Final,,,,
202302,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"224,845","20,684",0,0,"224,845","20,684",Final,,,,
202302,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"196,028","15,741",0,0,"196,028","15,741",Final,,,,
