Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202306,6302210100,"Bed linen; fitted sheets, frilled pillowcases, cot covers, duvet covers, mattress covers, eiderdown cases and quilt cases, of cotton, printed, not knitted or crocheted",NMB,"1,307",154,"32,462",881,"33,769","1,035",Provisional
202306,6302210901,"Bed linen; sheets, excluding goods of item no. 6302.21.01, of cotton, printed, not knitted or crocheted",NMB,"3,823",667,"2,572",55,"6,395",722,Provisional
202306,6302210909,"Bed linen; pillowcases, excluding goods of item no. 6302.21.01, of cotton, printed, not knitted or crocheted",NMB,"2,842",102,"5,546",585,"8,388",687,Provisional
202306,6302210919,"Bed linen; goods n.e.c. in item no. 6302.21, of cotton, printed, not knitted or crocheted",NMB,160,4,0,0,160,4,Provisional
202306,6302220100,"Bed linen; fitted sheets, frilled pillowcases, cot covers, duvet covers, mattress covers, eiderdown cases and quilt cases, of man-made fibres, printed, not knitted or crocheted",NMB,"105,000",9,0,0,"105,000",9,Provisional
202306,6302220901,"Bed linen; sheets (excluding goods of item no. 6302.22.01), of man-made fibres, printed, not knitted or crocheted",NMB,0,0,601,20,601,20,Provisional
202306,6302290100,"Bed linen; fitted sheets, frilled pillowcases, cot covers, duvet and mattress covers, eiderdown and quilt cases, textile materials (other than cotton or man-made fibres), printed, not knitted or crocheted",NMB,0,0,652,3,652,3,Provisional
202306,6302310100,"Bed linen; fitted sheets, frilled pillowcases, cot covers, duvet covers, mattress covers, eiderdown cases and quilt cases, of cotton (not printed, knitted or crocheted)",NMB,0,0,"4,156",47,"4,156",47,Provisional
202306,6302310901,"Bed linen; sheets (excluding goods of item no. 6302.31.01), of cotton (not printed, knitted or crocheted)",NMB,"1,154",24,"25,532",705,"26,686",729,Provisional
202306,6302310909,"Bed linen; pillowcases (excluding goods of item no. 6302.31.01), of cotton (not printed, knitted or crocheted)",NMB,"1,274",404,516,12,"1,790",416,Provisional
202306,6302310919,"Bed linen; goods n.e.c. in item no. 6302.31, of cotton (not printed, knitted or crocheted)",NMB,0,0,"1,250",16,"1,250",16,Provisional
202306,6302320100,"Bed linen; fitted sheets, frilled pillowcases, cot covers, duvet covers, mattress covers, eiderdown cases and quilt cases, of man-made fibres (not printed, knitted or crocheted)",NMB,"3,345","5,000","1,956",11,"5,301","5,011",Provisional
202306,6302320909,"Bed linen; pillowcases, excluding goods of item no. 6302.32.01, of man-made fibres (not printed, knitted or crocheted)",NMB,"3,079","40,000","2,463","32,000","5,542","72,000",Provisional
202306,6302320919,"Bed linen; goods n.e.c. in item no. 6392.32, of man-made fibres (not printed, knitted or crocheted)",NMB,"3,612",7,0,0,"3,612",7,Provisional
202306,6302390100,"Bed linen; fitted sheets, frilled pillowcases, cot covers, duvet and mattress covers, eiderdown and quilt cases, of textile materials other than cotton or man-made fibres (not printed, knitted or crocheted)",NMB,0,0,"4,436",31,"4,436",31,Provisional
202306,6302390901,"Bed linen; sheets, excluding goods of item no. 6302.39.01, of textile materials other than cotton or man-made fibres (not printed, knitted or crocheted)",NMB,"33,224","12,000","2,690",32,"35,914","12,032",Provisional
202306,6302390909,"Bed linen; pillowcases, excluding goods of item no. 6302.39.01, of textile materials n.e.c. in item no. 6302.3 (not printed, knitted or crocheted)",NMB,0,0,"6,785",509,"6,785",509,Provisional
202306,6302390919,"Bed linen: goods n.e.c. in item no. 6302.39, of textile materials other than cotton or man-made fibres (not printed, knitted or crocheted)",NMB,0,0,"42,506","1,761","42,506","1,761",Provisional
202306,6302400000,Table linen; knitted or crocheted,NMB,170,2,"1,656",120,"1,826",122,Provisional
202306,6302510001,"Table linen; table-cloths, of cotton, not knitted or crocheted",NMB,239,1,71,2,310,3,Provisional
202306,6302510009,"Table linen; table napkins, of cotton, not knitted or crocheted",NMB,"2,250","2,000",0,0,"2,250","2,000",Provisional
202306,6302530001,"Table linen; table-cloths, of man-made fibres, not knitted or crocheted",NMB,0,0,60,2,60,2,Provisional
202306,6302530019,"Table linen; (other than table-cloths or table napkins), of man-made fibres, not knitted or crocheted",NMB,"1,456","2,000",0,0,"1,456","2,000",Provisional
202306,6302590010,"Table linen; tablecloths, of flax, not knitted or crocheted",NMB,0,0,54,1,54,1,Provisional
202306,6302590013,"Table linen; table napkins, of flax, not knitted or crocheted",NMB,0,0,125,28,125,28,Provisional
202306,6302590029,"Table linen; other than tablecloths or table napkins, of textile materials (other than cotton, flax or man-made fibres), not knitted or crocheted",NMB,418,22,198,8,616,30,Provisional
202306,6302600001,"Toilet linen; of terry towelling or similar terry fabrics, of cotton, roller towels",NMB,0,0,"14,915","1,239","14,915","1,239",Provisional
202306,6302600009,"Toilet linen; of terry towelling or similar terry fabrics, of cotton, other than roller towels",NMB,"48,223","9,128","73,029","12,162","121,252","21,290",Provisional
202306,6302600011,"Kitchen linen; of terry towelling or similar terry fabrics, of cotton, tea-towels",NMB,0,0,"3,804",551,"3,804",551,Provisional
202306,6302600019,"Kitchen linen; of terry towelling or similar terry fabrics, of cotton, other than tea-towels",NMB,0,0,63,21,63,21,Provisional
202306,6302910001,"Toilet linen; of cotton, (other than of terry fabrics), roller towels",NMB,0,0,795,51,795,51,Provisional
202306,6302910009,"Toilet linen; of cotton, (other than of terry fabrics), other than roller towels",NMB,"7,767",608,"52,772","10,076","60,539","10,684",Provisional
202306,6302910011,"Kitchen linen; of cotton, (other than of terry fabrics), tea-towels",NMB,"54,155","54,155","1,140",205,"55,295","54,360",Provisional
202306,6302910019,"Kitchen linen; of cotton, (other than of terry fabrics), other than tea-towels",NMB,0,0,653,149,653,149,Provisional
202306,6302930009,"Toilet linen; of man-made fibres, other than roller towels",NMB,14,2,"1,511",147,"1,525",149,Provisional
202306,6302990013,"Toilet linen; of flax, other than roller towels",NMB,"2,864",146,0,0,"2,864",146,Provisional
202306,6302990039,"Kitchen linen; of textile materials (other than cotton, flax or man-made fibres), other than tea-towels",NMB,117,1,0,0,117,1,Provisional
202306,6303120000,"Curtains (including drapes) and interior blinds; curtain or bed valances, knitted or crocheted, of synthetic fibres",NMB,"20,348",62,0,0,"20,348",62,Provisional
202306,6303910100,"Curtains; of cotton, not knitted or crocheted",NMB,0,0,68,24,68,24,Provisional
202306,6303910900,"Interior blinds, curtain or bed valances; of cotton, not knitted or crocheted",NMB,0,0,268,4,268,4,Provisional
202306,6303920100,"Curtains; of synthetic fibres, not knitted or crocheted",NMB,"8,985",1,"1,192",11,"10,177",12,Provisional
202306,6303920900,"Interior blinds, curtain or bed valances; of synthetic fibres, not knitted or crocheted",NMB,"7,818",2,0,0,"7,818",2,Provisional
202306,6303990100,"Curtains; of textile materials other than cotton or synthetic fibres, not knitted or crocheted",NMB,"1,155",1,974,10,"2,129",11,Provisional
202306,6303990900,"Interior blinds, curtain or bed valances; of textile materials other than cotton or synthetic fibres, not knitted or crocheted",NMB,"3,122",17,0,0,"3,122",17,Provisional
202306,6304190000,Bedspreads; not knitted or crocheted,NMB,0,0,"1,708",12,"1,708",12,Provisional
202306,6304910019,"Furnishing articles; excluding those of heading no. 9404, n.e.c. in heading 6304, knitted or crocheted",,"11,449",,"9,058",,"20,507",,Provisional
202306,6304920009,"Furnishing articles; of cotton, not knitted or crocheted (excluding bedspreads, bedding underlays and articles of heading no. 9404)",NMB,684,40,"8,188",544,"8,872",584,Provisional
202306,6304930009,"Furnishing articles; of synthetic fibres, not knitted or crocheted (excluding bedspreads, bedding underlays and articles of heading no. 9404)",NMB,"4,595",5,"1,553",61,"6,148",66,Provisional
202306,6304990002,"Furnishing articles; bedding underlays, of wool, not knitted or crocheted",NMB,0,0,268,4,268,4,Provisional
202306,6304990009,"Furnishing articles; bedding underlays, of textile materials (other than cotton, synthetic fibres or wool), not knitted or crocheted (excluding articles of heading no. 9404)",NMB,0,0,"2,376",15,"2,376",15,Provisional
202306,6304990019,"Furnishing articles; of textile materials other than cotton or synthetic fibres, not knitted or crocheted (excluding bedspreads, bedding underlays and articles of heading no. 9404)",NMB,"33,850","30,045","22,551","21,262","56,401","51,307",Provisional
