Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201904,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"285,810","31,800",0,0,"285,810","31,800",Final,,,,
201904,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"1,957,885","233,603",0,0,"1,957,885","233,603",Final,,,,
201904,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"188,455","24,282",0,0,"188,455","24,282",Final,,,,
201904,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"2,513",257,0,0,"2,513",257,Final,,,,
201904,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"151,732","29,964",0,0,"151,732","29,964",Final,,,,
201904,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"322,713","58,953",0,0,"322,713","58,953",Final,,,,
201904,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"1,337,692","223,313",0,0,"1,337,692","223,313",Final,,,,
201904,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"56,883","8,523",0,0,"56,883","8,523",Final,,,,
201904,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"7,650,939","1,139,020",0,0,"7,650,939","1,139,020",Final,,,,
201904,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"962,803","148,346",0,0,"962,803","148,346",Final,,,,
201904,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"222,749,442","24,557,764",0,0,"222,749,442","24,557,764",Final,,,,
201904,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"26,658,042","4,203,668",0,0,"26,658,042","4,203,668",Final,,,,
201904,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"38,468,668","3,467,101",0,0,"38,468,668","3,467,101",Final,,,,
201904,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"5,250,366","557,433",0,0,"5,250,366","557,433",Final,,,,
201904,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"1,098,445","124,155",0,0,"1,098,445","124,155",Final,,,,
201904,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"226,425","17,079",0,0,"226,425","17,079",Final,,,,
201904,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"555,268","52,294",0,0,"555,268","52,294",Final,,,,
201904,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"3,525,369","586,841",0,0,"3,525,369","586,841",Final,,,,
201904,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"996,839","842,796",0,0,"996,839","842,796",Final,,,,
201904,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,046,138","400,114",0,0,"1,046,138","400,114",Final,,,,
201904,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"208,714","95,311",0,0,"208,714","95,311",Final,,,,
