Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202304,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"16,941","1,639",0,0,"16,941","1,639",Provisional,,,
202304,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Niue,"1,235",238,0,0,"1,235",238,Provisional,,,
202304,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"4,305",174,0,0,"4,305",174,Provisional,,,
202304,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"87,798","5,725",0,0,"87,798","5,725",Provisional,,,
202304,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"17,283",779,0,0,"17,283",779,Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Belgium,"9,757",426,0,0,"9,757",426,Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Bahrain,"28,585",912,0,0,"28,585",912,Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"China, People's Republic of","2,126,076","182,207",0,0,"2,126,076","182,207",Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Germany,"119,188","3,840",0,0,"119,188","3,840",Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Denmark,"46,114","1,256",0,0,"46,114","1,256",Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"29,171","1,195",0,0,"29,171","1,195",Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Japan,"462,672","25,956",0,0,"462,672","25,956",Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Oman,"3,849",244,0,0,"3,849",244,Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,French Polynesia,"161,985","7,934",0,0,"161,985","7,934",Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Saudi Arabia,"18,738",612,0,0,"18,738",612,Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"179,887","6,073",0,0,"179,887","6,073",Provisional,,,
202304,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"123,959","6,863",0,0,"123,959","6,863",Provisional,,,
202304,201300021,"Meat; of bovine animals, boneless cuts of veal (bobby), fresh or chilled",KGM,French Polynesia,"28,904","2,078",0,0,"28,904","2,078",Provisional,,,
202304,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"China, People's Republic of","233,272","66,806",0,0,"233,272","66,806",Provisional,,,
202304,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"Korea, Republic of","50,119","7,363",0,0,"50,119","7,363",Provisional,,,
202304,202200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, frozen",KGM,Malaysia,"30,675","14,997",0,0,"30,675","14,997",Provisional,,,
202304,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"China, People's Republic of","1,670,327","325,160",0,0,"1,670,327","325,160",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Samoa, American","24,033","3,663",0,0,"24,033","3,663",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Cook Islands,"4,568",406,0,0,"4,568",406,Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","16,480,327","2,037,001","101,536","10,054","16,581,863","2,047,055",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Fiji,"12,633",782,0,0,"12,633",782,Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"21,310","1,027",0,0,"21,310","1,027",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Indonesia,"225,201","50,082",0,0,"225,201","50,082",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Kiribati,"11,736",786,0,0,"11,736",786,Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Korea, Republic of","3,410,706","506,949",0,0,"3,410,706","506,949",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Malaysia,"121,011","22,241",0,0,"121,011","22,241",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Netherlands,"60,130","2,513",0,0,"60,130","2,513",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Oman,"9,152",445,0,0,"9,152",445,Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,French Polynesia,"157,933","7,252",0,0,"157,933","7,252",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Philippines,"67,236","12,932",0,0,"67,236","12,932",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Saudi Arabia,"22,838","1,360",0,0,"22,838","1,360",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Thailand,"61,241","6,019",0,0,"61,241","6,019",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Tonga,"174,021","26,833",0,0,"174,021","26,833",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Tuvalu,"3,009",543,0,0,"3,009",543,Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Taiwan,"11,816","2,289",0,0,"11,816","2,289",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,United States of America,"8,085","2,697",0,0,"8,085","2,697",Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Wallis and Futuna,"4,108",314,0,0,"4,108",314,Provisional,,,
202304,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Samoa,"108,567","25,563",0,0,"108,567","25,563",Provisional,,,
