Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status,,
202210,303540015,"Fish; frozen, mackerel (Scomber scombrus, Scomber japonicus), whole",KGM,"2,250","2,688",180,Final,,
202210,303540025,"Fish; frozen, mackerel (Scomber scombrus, Scomber japonicus), headed and gutted",KGM,"2,028","2,359",71,Final,,
202210,303590015,"Fish; frozen, n.e.c. in item no. 0303.5, headed and gutted",KGM,"4,970","7,722",784,Final,,
202210,303590019,"Fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"34,138","34,223","4,800",Final,,
202210,303690049,"Fish; frozen, n.e.c. in item no. 0303.6, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"1,233","1,457",103,Final,,
202210,303891023,"Fish; frozen, groper, whole",KGM,"66,355","71,429","3,000",Final,,
202210,303891079,"Fish; frozen, n.e.c. in heading 0303, whole",KGM,"642,867","652,882","78,344",Final,,
202210,303892079,"Fish; frozen, n.e.c. in heading 0303, headed and gutted",KGM,"11,349","13,907","1,047",Final,,
202210,303899044,"Fish; frozen, orange roughy, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"722,562","748,148","72,725",Final,,
202210,303899079,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"56,425","62,759","4,974",Final,,
202210,303910019,"Fish; frozen, livers, roes and milt, n.e.c. in item 0303.91",KGM,"26,519","28,344",604,Final,,
202210,304320000,"Fish fillets; fresh or chilled, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",KGM,"41,652","49,516","9,400",Final,,
202210,304440019,"Fish fillets; fresh or chilled, southern blue whiting",KGM,"25,238","30,025","7,920",Final,,
202210,304490077,"Fish fillets; fresh or chilled, yellowtail kingfish",KGM,"2,964","3,137",90,Final,,
202210,304490099,"Fish fillets; fresh or chilled, n.e.c. in item no. 0304.49",KGM,"1,131","1,209",20,Final,,
202210,304590089,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, n.e.c. in item no. 0304.59",KGM,967,969,84,Final,,
202210,304620000,"Fish fillets; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",KGM,"256,193","270,850","50,750",Final,,
202210,304690010,"Fish fillets; frozen, carp (Cyprinus/Carassius/Ctenopharyngodon idellus/Hypophthalmichthys/Cirrhinus/Mylopharyngodon piceus/Catla catla/Labeo/Osteochilus hasselti/Leptobarbus hoeveni/Megalobrama), eels (Anguilla) and snakeheads (Channa)",KGM,153,153,173,Final,,
202210,304790019,"Fish fillets; frozen, hoki, other than in blocks",KGM,"1,098,960","1,125,893","116,615",Final,,
202210,304790035,"Fish fillets; frozen, southern blue whiting, other than in blocks",KGM,"279,231","286,999","35,655",Final,,
202210,304810000,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",KGM,"65,877","69,170","3,347",Final,,
202210,304840000,"Fish fillets; frozen, swordfish (Xiphias gladius)",KGM,"158,688","174,641","21,000",Final,,
202210,304870019,"Fish fillets; frozen, tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), other than southern bluefin",KGM,"287,845","288,421","8,000",Final,,
202210,304890029,"Fish fillets; frozen, other than in blocks, gurnard",KGM,"9,827","11,691","2,640",Final,,
202210,304890035,"Fish fillets; frozen, other than in blocks, John dory",KGM,"45,013","53,551","11,940",Final,,
202210,304890045,"Fish fillets; frozen, other than in blocks, mackerel, blue",KGM,"1,781","1,904",220,Final,,
202210,304890099,"Fish fillets; frozen, other than in blocks, n.e.c. in item no. 0304.89",KGM,"111,960","118,157","8,609",Final,,
202210,304990014,"Fish meat, excluding fillets; frozen, n.e.c. in item no. 0304.9, minced blocks",KGM,"12,989","12,989",680,Final,,
202210,304990023,"Fish meat, excluding fillets, frozen, n.e.c. in item no. 0304.9, surimi",KGM,"95,140","106,661","11,800",Final,,
202210,304990039,"Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9",KGM,"2,221","2,221",12,Final,,
202210,305200019,"Fish; livers, roes and milt of fish, smoked, salted or in brine, whether or not cooked before or during the smoking process",KGM,"9,973","11,843",292,Final,,
202210,305310029,"Fish fillets; salted or in brine, but not smoked, tilapias, catfish, carp, eels, Nile perch, and snakeheads",KGM,"20,654","21,654","1,260",Final,,
202210,305390011,"Fish fillets; dried, n.e.c. in item no. 0305.3",KGM,"12,676","14,479",850,Final,,
202210,305390029,"Fish fillets; salted or in brine, but not smoked, n.e.c. in item no. 0305.3",KGM,"3,122","3,471",65,Final,,
202210,305410010,"Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal",KGM,"4,098,209","4,265,419","114,561",Final,,
202210,305490015,"Fish; smoked, whether or not cooked before or during smoking, hoki, includes fillets, but excludes edible fish offal",KGM,"13,258","13,969","1,795",Final,,
202210,305510010,"Fish; dried, whether or not salted but not smoked, other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",KGM,"1,914","2,241",49,Final,,
202210,305540000,"Dried herrings, anchovies, sardines, sardinella, brisling or sprats, mackerel (incl Indian, jack, or horse), seerfishes, jacks, crevalles, cobia, silver pomfrets, Pacific saury, scads, capelin, swordfish, Kawakawa, bonitos, marlins, sailfishes, spearfish",KGM,"23,571","26,775","1,127",Final,,
202210,305590011,"Fish; dried, whether or not salted but not smoked, other than edible fish offal, n.e.c. in item no. 0305.5",KGM,"24,452","27,906","2,234",Final,,
202210,305630010,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, anchovies (Engrails spp.)",KGM,"7,883","8,536",272,Final,,
202210,305690011,"Fish; salted or in brine, not dried or smoked, other than edible fish offal, n.e.c. in item no. 0305.6",KGM,"8,581","9,292",600,Final,,
202210,305720000,"Fish; edible offal, fish heads, tails and maws",KGM,"106,131","115,401",254,Final,,
202210,306110001,"Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water, whole",KGM,"2,352","2,920",40,Final,,
202210,306110011,"Crustaceans; frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water, tails",KGM,"25,988","25,988",302,Final,,
202210,306120010,"Crustaceans; frozen, lobsters (Homarus spp.), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"662,443","679,532","9,371",Final,,
202210,306140010,"Crustaceans; frozen, crabs, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"407,196","428,815","36,353",Final,,
202210,306160000,"Crustaceans; frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"2,906","3,639",100,Final,,
202210,306170000,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"8,596,484","9,142,710","608,548",Final,,
202210,306190012,"Crustaceans; frozen, n.e.c. in item no. 0306.1, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",KGM,"90,886","100,861","4,476",Final,,
202210,306921900,"Crustaceans; lobsters (Homarus spp.), whole, cooked",KGM,"24,828","24,828",504,Final,,
202210,306952900,"Crustaceans; shrimps and prawns, other than smoked or whole, cooked",KGM,"24,506","27,552","1,074",Final,,
202210,306992902,"Crustaceans; n.e.c. in item no. 0306.9, other than smoked or whole, cooked",KGM,"13,477","14,642",387,Final,,
202210,307120039,"Molluscs; Pacific oysters (Crassostrea gigas), frozen, meat",DZN,"148,607","148,979","69,444",Final,,
202210,307220002,"Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, frozen",KGM,"1,891,787","1,959,806","64,047",Final,,
202210,307290002,"Molluscs; scallops and other molluscs of the family Pectinidae, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"17,939","19,489",264,Final,,
202210,307430010,"Molluscs; cuttle fish, whether in shell or not, frozen",KGM,"23,499","26,365","2,131",Final,,
202210,307430013,"Molluscs; squid, frozen, whole",KGM,"130,997","149,526","21,071",Final,,
202210,307430017,"Molluscs; squid, frozen, tubes or steaks",KGM,"621,083","654,109","70,180",Final,,
202210,307430029,"Molluscs; squid, frozen, n.e.c. in item no. 0305.43",KGM,"57,908","62,365","5,200",Final,,
202210,307490043,"Molluscs; squid, whether in shell or not, dried",KGM,"27,225","30,752",363,Final,,
202210,307490049,"Molluscs; squid, whether in shell or not, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"11,349","13,821",662,Final,,
202210,307520000,"Molluscs; octopus (Octopus spp.), frozen",KGM,"30,953","32,968","2,166",Final,,
202210,307590000,"Molluscs; octopus (Octopus spp.), dried, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"47,940","52,614","2,453",Final,,
202210,307720019,"Molluscs; n.e.c. in item no. 0307.72, whether in shell or not, frozen",KGM,195,496,740,Final,,
202210,307790000,"Molluscs; clams, cockle, ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae, Veneridae), whether in shell or not, dried, salted, in brine, smoked",KGM,"1,816","1,953",67,Final,,
202210,307830000,"Molluscs; abalone (Haliotis spp.), whether in shell or not, frozen",KGM,"98,052","98,297","1,210",Final,,
202210,307870000,"Molluscs; abalone (Haliotis spp.), whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"5,876","6,496",48,Final,,
202210,307920002,"Molluscs; n.e.c. in heading 0307, whether in shell or not, frozen",KGM,"7,021","7,507",123,Final,,
202210,307990002,"Molluscs; n.e.c. in heading 0307, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",KGM,"1,964","2,089",81,Final,,
202210,308120000,"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothuroidea), frozen",KGM,"147,448","154,586","3,600",Final,,
202210,308199010,"Aquatic invertebrates; sea cucumbers (Stichopus japonicus, Holothuroidea), dried, salted or in brine",KGM,"2,826","3,259",46,Final,,
202210,308220000,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), frozen",KGM,"6,813","8,053",351,Final,,
202210,308309000,"Aquatic invertebrates; jellyfish (Rhopilema spp.), dried, salted or in brine",KGM,964,"1,063",120,Final,,
202210,308901000,"Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled",KGM,743,"1,944",18,Final,,
202210,308902000,"Aquatic invertebrates; other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, frozen",KGM,"1,844","2,247",20,Final,,
202210,401200901,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 1% but not exceeding 6%, UHT milk",LTR,"152,964","165,158","82,983",Final,,
202210,401400019,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 6% but not exceeding 10%, other than fresh",KGM,"1,304","1,661",440,Final,,
202210,401500019,"Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, exceeding 10%, other than fresh",KGM,"1,028,055","1,334,597","186,236",Final,,
202210,402100002,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, skimmed milk powder, spray process, fat content not over 1.5%",KGM,563,688,75,Final,,
202210,402100009,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, skimmed milk powder, not spray process, fat content not over 1.5%",KGM,"142,099","142,456","14,000",Final,,
202210,402100018,"Dairy produce; milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, fat content not over 1.5%, other than skimmed milk powder",KGM,"40,469","42,640","1,320",Final,,
202210,402210019,"Dairy produce; whole milk powder, concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), n.e.c. in item no. 0402.21",KGM,"428,278","447,988","24,167",Final,,
202210,402210029,"Dairy produce; milk and cream, in powder, granules or other solid forms, concentrated, no added sweetening matter, of a fat content over 1.5% (by weight), n.e.c. in item no. 0402.21",KGM,"1,328","1,600",60,Final,,
202210,402290001,"Dairy produce; whole milk powder, containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), prepared for use as infants' or invalids' foods",KGM,62,70,54,Final,,
202210,402290019,"Dairy produce; whole milk powder, containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), n.e.c. in item no. 0402.29",KGM,"3,572","4,309",288,Final,,
202210,402290029,"Dairy produce; milk and cream, in powder, granules or other solid forms, containing added sugar or other sweetening matter, of a fat content exceeding 1.5% (by weight), n.e.c. in item no. 0402.29",KGM,"6,190","6,343",896,Final,,
202210,402910000,"Dairy produce; milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",KGM,"5,688","6,203","1,639",Final,,
202210,402990010,"Dairy produce; milk and cream, concentrated, containing added sugar or other sweetening matter, condensed",KGM,"744,159","857,700","183,569",Final,,
202210,402990015,"Dairy produce; milk and cream, concentrated, containing added sugar or other sweetening matter, evaporated",KGM,"25,314","28,598","5,977",Final,,
202210,402990021,"Dairy produce, milk and cream, other than concentrated, containing added sugar or other sweetening matter, Ultra-High Temperature (UHT) milk",LTR,"157,238","168,320","28,208",Final,,
202210,402990029,"Dairy produce, milk and cream, other than concentrated, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms, other than Ultra-High Temperature (UHT) milk",KGM,"7,427","7,978",726,Final,,
202210,403200100,"Dairy produce; yoghurt, whether or not concentrated, containing cocoa, less than 5 % by weight of cocoa calculated on a totally defatted basis",KGM,"21,325","22,531","1,254",Final,,
202210,403200900,"Dairy produce; yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa n.e.c. in item 0403.20",KGM,"235,728","254,009","26,105",Final,,
202210,403901100,"Dairy produce; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, concentrated or sweetened, with or without flavouring, fruit, nuts, cocoa, liquid or semi-solid (excluding yoghurt)",KGM,"275,748","278,029","47,284",Final,,
202210,403901909,"Dairy produce; buttermilk powder, produced by other than a spray process, concentrated or sweetened, with or without flavouring, added fruit, nuts or cocoa",KGM,109,114,5,Final,,
202210,404100000,"Dairy produce; whey, whether or not concentrated or containing added sugar or other sweetening matter",KGM,"4,609,440","5,410,838","1,116,044",Final,,
202210,404900100,"Dairy produce; natural milk constituents (excluding whey), not concentrated or sweetened, n.e.c. in chapter 4",KGM,"7,765","7,916",486,Final,,
202210,404901900,"Dairy produce; natural milk constituents (excluding whey), concentrated or sweetened, other than liquid or semi-solid, n.e.c. in chapter 4",KGM,"317,497","330,645","100,960",Final,,
202210,405100009,"Dairy produce; derived from milk, butter, salted, creamery, in pats",KGM,"641,697","716,159","39,759",Final,,
202210,405200000,Dairy produce; dairy spreads,KGM,"94,087","95,898","8,832",Final,,
202210,405900005,"Dairy produce; fats and oils derived from milk (other than butter or dairy spreads), ghee",KGM,"132,628","149,210","10,544",Final,,
202210,405900009,"Dairy produce; fats and oils derived from milk (other than butter or dairy spreads), other than anhydrous milk fat or ghee",KGM,"4,881","8,310",600,Final,,
202210,406100001,"Dairy produce; fresh cheese (including whey cheese), not fermented",KGM,"1,438,145","1,510,561","156,567",Final,,
202210,406200029,"Dairy produce; cheese, grated or powdered, n.e.c. in item no. 0406.20",KGM,"2,055,325","2,065,722","250,101",Final,,
202210,406300000,"Dairy produce; cheese, processed (not grated or powdered)",KGM,"1,062,353","1,098,139","103,480",Final,,
202210,406400000,"Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)",KGM,"108,335","120,357","5,586",Final,,
202210,406900001,"Dairy produce; cheese, in tins (not grated, powdered or processed)",KGM,"110,390","128,704","11,244",Final,,
202210,406900011,"Dairy produce; cheese, cheddar (other than in tins, not grated, powdered or processed)",KGM,"949,832","1,049,073","92,107",Final,,
202210,406900021,"Dairy produce; cheese, cheshire (other than in tins, not grated, powdered or processed)",KGM,"4,217","5,091",358,Final,,
202210,406900031,"Dairy produce; cheese, gouda (other than in tins, not grated, powdered or processed)",KGM,"177,837","179,061","11,101",Final,,
202210,406900039,"Dairy produce; cheese, (other than in tins, not grated, powdered or processed), n.e.c. in item no. 0406.90",KGM,"3,915,085","4,189,614","280,653",Final,,
202210,407110000,"Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)",DZN,"206,049","248,500","1,140",Final,,
202210,407900000,"Birds' eggs, in shell; preserved or cooked",KGM,"61,822","74,459","12,337",Final,,
202210,408110000,"Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter",KGM,"175,862","179,100","10,000",Final,,
202210,408190009,"Eggs; birds' eggs, yolks, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",KGM,"19,619","23,659",990,Final,,
202210,408910000,"Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",KGM,"912,060","941,482","50,338",Final,,
202210,408990009,"Eggs; birds' eggs (not in shell, excluding yolks only), cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",KGM,"21,493","25,699","1,471",Final,,
202210,409000010,"Honey; natural honey, extracted, in bulk, Manuka honey as defined by the Ministry for Primary Industries, monofloral",KGM,"1,247,875","1,260,866","19,966",Final,,
202210,409000021,"Honey; natural honey, extracted, in retail packs, Manuka honey as defined by the Ministry for Primary Industries, monofloral",KGM,"79,987","88,387","1,441",Final,,
202210,409000025,"Honey; natural honey, extracted, in retail packs, other than Manuka honey as defined by the Ministry for Primary Industries",KGM,"3,751","4,865",47,Final,,
202210,409000031,"Honey; natural honey, honeydew",KGM,"24,643","32,909","6,244",Final,,
202210,409000039,"Honey; natural honey, (other than extracted, comb or honeydew), other than Manuka honey as defined by the Ministry for Primary Industries",KGM,"12,000","14,000","12,000",Final,,
202210,410100500,"Animal products; insects, n.e.c. in item 0410.10",KGM,"34,188","40,484","7,220",Final,,
202210,410900000,"Animal products; edible products of animal origin, not elsewhere specified or included, other than insects",KGM,"9,073","9,086",187,Final,,
202210,504000001,"Animal products; sausage casings, made from the guts of hogs",HNK,"2,598,516","2,633,824","100,550",Final,,
202210,504000019,"Animal products; sausage casings, made from the guts of lamb",HNK,"120,475","124,898","12,164",Final,,
202210,504000021,"Animal products; sausage casings, made from the guts of sheep (excluding lamb)",HNK,"1,116,540","1,120,827","51,432",Final,,
202210,508000000,"Animal products; coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof",,"65,029","89,536",,Final,,
202210,510000019,"Animal products; for pharmaceutical use, fresh, chilled, frozen or otherwise provisionally preserved, other than ambergris",,"1,629,820","1,669,090",,Final,,
202210,511100000,Animal products; bovine semen,,"855,117","886,416",,Final,,
