Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202304,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"452,058","87,401",0,0,"452,058","87,401",Provisional,,,,
202304,206900091,"Offal, edible; of goats, horses, asses, mules or hinnies, livers, frozen",KGM,"228,546","51,588",0,0,"228,546","51,588",Provisional,,,,
202304,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,689,226,0,0,689,226,Provisional,,,,
202304,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"14,880","1,519",0,0,"14,880","1,519",Provisional,,,,
202304,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"482,548","113,845",0,0,"482,548","113,845",Provisional,,,,
202304,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"483,201","40,223",0,0,"483,201","40,223",Provisional,,,,
202304,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"1,916,231","476,315",0,0,"1,916,231","476,315",Provisional,,,,
202304,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"42,277","4,321",0,0,"42,277","4,321",Provisional,,,,
202304,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"9,830",437,0,0,"9,830",437,Provisional,,,,
202304,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"13,970",189,0,0,"13,970",189,Provisional,,,,
202304,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"216,582","19,024",0,0,"216,582","19,024",Provisional,,,,
202304,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,716,507","60,188",0,0,"1,716,507","60,188",Provisional,,,,
202304,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"23,109,898","1,466,357",0,0,"23,109,898","1,466,357",Provisional,,,,
202304,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"28,566","1,840","30,380","3,678","58,946","5,518",Provisional,,,,
202304,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,"1,156",32,0,0,"1,156",32,Provisional,,,,
202304,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"26,213",465,0,0,"26,213",465,Provisional,,,,
202304,210993025,"Meat and edible meat offal; of deer, edible offal, salted, in brine, dried or smoked, other than pizzles and tails",KGM,"4,559",10,0,0,"4,559",10,Provisional,,,,
202304,210993029,"Meat and edible meat offal; of deer, venison, salted, in brine, dried or smoked",KGM,"2,297",29,0,0,"2,297",29,Provisional,,,,
202304,210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"667,440","9,125",0,0,"667,440","9,125",Provisional,,,,
202304,301920000,"Fish; live, eels (anguilla spp.)",KGM,"161,947","10,872",0,0,"161,947","10,872",Provisional,,,,
202304,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"6,923,789","292,572",0,0,"6,923,789","292,572",Provisional,,,,
202304,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"581,034","36,504",0,0,"581,034","36,504",Provisional,,,,
