Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201901,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"21,318,075","3,200,607",0,0,"21,318,075","3,200,607",Final,,,,
201901,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"735,234","118,946",0,0,"735,234","118,946",Final,,,,
201901,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"163,934,098","18,203,694","87,678","6,604","164,021,776","18,210,297",Final,,,,
201901,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"46,697,152","7,435,838",0,0,"46,697,152","7,435,838",Final,,,,
201901,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"31,489,072","2,692,024",0,0,"31,489,072","2,692,024",Final,,,,
201901,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"10,278,169","1,157,959",0,0,"10,278,169","1,157,959",Final,,,,
201901,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"492,626","58,288",0,0,"492,626","58,288",Final,,,,
201901,206100019,"Offal, edible; of bovine animals, livers, fresh or chilled",KGM,"1,006",680,0,0,"1,006",680,Final,,,,
201901,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"123,548","8,641",0,0,"123,548","8,641",Final,,,,
201901,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"304,452","29,627",0,0,"304,452","29,627",Final,,,,
201901,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"1,941,409","416,882",0,0,"1,941,409","416,882",Final,,,,
201901,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"714,662","655,397",0,0,"714,662","655,397",Final,,,,
201901,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"521,226","198,744",0,0,"521,226","198,744",Final,,,,
201901,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"169,356","72,829",0,0,"169,356","72,829",Final,,,,
201901,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"15,939","4,095",0,0,"15,939","4,095",Final,,,,
201901,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"8,028,453","1,415,896",0,0,"8,028,453","1,415,896",Final,,,,
201901,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"614,721","202,211",0,0,"614,721","202,211",Final,,,,
201901,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,063,018","160,762",0,0,"1,063,018","160,762",Final,,,,
201901,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,352,061","905,923",0,0,"1,352,061","905,923",Final,,,,
201901,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"295,654","41,657",0,0,"295,654","41,657",Final,,,,
201901,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"16,722","2,786",0,0,"16,722","2,786",Final,,,,
201901,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,578,280","489,133",0,0,"2,578,280","489,133",Final,,,,
201901,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"608,559","341,614",0,0,"608,559","341,614",Final,,,,
201901,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"965,605","202,745",0,0,"965,605","202,745",Final,,,,
201901,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"10,021","4,432",0,0,"10,021","4,432",Final,,,,
201901,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"15,588","2,597",0,0,"15,588","2,597",Final,,,,
201901,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"871,572","284,220",0,0,"871,572","284,220",Final,,,,
201901,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"194,229","16,981",0,0,"194,229","16,981",Final,,,,
201901,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,766,689","858,251",0,0,"2,766,689","858,251",Final,,,,
201901,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"21,476","2,852",0,0,"21,476","2,852",Final,,,,
201901,207410010,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",KGM,525,72,0,0,525,72,Final,,,,
201901,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"60,840","4,966",0,0,"60,840","4,966",Final,,,,
201901,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,800,50,0,0,800,50,Final,,,,
201901,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"26,010","3,300",0,0,"26,010","3,300",Final,,,,
201901,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"2,499,742","79,165",0,0,"2,499,742","79,165",Final,,,,
201901,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"8,578,913","664,891",0,0,"8,578,913","664,891",Final,,,,
201901,210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,243,30,0,0,243,30,Final,,,,
201901,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"47,101","6,610",554,49,"47,655","6,659",Final,,,,
201901,210190011,"Meat; of swine, pork n.e.c. in heading 0210, salted or pickled",KGM,332,7,0,0,332,7,Final,,,,
201901,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"8,263","1,502",0,0,"8,263","1,502",Final,,,,
201901,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"38,717",926,0,0,"38,717",926,Final,,,,
201901,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"87,918","1,344",0,0,"87,918","1,344",Final,,,,
201901,301920000,"Fish; live, eels (anguilla spp.)",KGM,"144,839","9,513",0,0,"144,839","9,513",Final,,,,
201901,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,667,659","275,869",0,0,"5,667,659","275,869",Final,,,,
201901,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"536,081","25,736",0,0,"536,081","25,736",Final,,,,
201901,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"419,716","20,262",0,0,"419,716","20,262",Final,,,,
