Month,Harmonised System Code,Harmonised System Description,Unit Qty,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status
202305,0505900000,"Animal products; skins and other parts of birds, feathers and down (not for stuffing), powder and waste of such, not further worked than cleaned, disinfected or treated for preservation",KGM,227,264,1,Provisional
202305,0507900009,"Animal products; horns and antlers, of animals other than deer, unworked or simply prepared but not cut to shape, and waste of such (excluding powder)",,336,369,,Provisional
202305,0508000000,"Animal products; coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof",,"4,917","6,262",,Provisional
202305,0510000019,"Animal products; for pharmaceutical use, fresh, chilled, frozen or otherwise provisionally preserved, other than ambergris",,"2,481,417","2,520,383",,Provisional
202305,0511100000,Animal products; bovine semen,,"723,370","742,383",,Provisional
202305,0511910001,Animal products; of fish; unfit for human consumption,KGM,"251,413","256,818","79,330",Provisional
202305,0511990007,"Animal products; sheep semen, other than bovine",,"69,462","69,852",,Provisional
202305,0511990008,"Animal products; semen, other than bovine, other than sheep semen",,"5,604","5,810",,Provisional
202305,0511990045,"Animal products; n.e.c. in chapter 5, embryos",,"5,600","5,965",,Provisional
202305,0511990049,Animal products; n.e.c. in chapter 5,,"71,896","72,276",,Provisional
202305,0601100015,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, lilium",KGM,"216,232","228,902","40,608",Provisional
202305,0601100017,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, tulip",KGM,"183,903","211,980","46,510",Provisional
202305,0601100029,"Plants, live; bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, (other than calla lillies, paeony tubers or roots, sandersonia, lilium or tulip)",,"223,635","244,994",,Provisional
202305,0602900001,"Plants, live; mushroom spawn",,"302,081","316,510",,Provisional
202305,0602900029,"Plants, live; those plants n.e.c. in item no. 0602.90",,"198,837","248,491",,Provisional
202305,0603110000,"Flowers, cut; roses, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",NMB,"262,312","501,420","520,983",Provisional
202305,0603120000,"Flowers, cut; carnations, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",NMB,"4,955","10,014","11,900",Provisional
202305,0603130000,"Flowers, cut; orchids, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",NMB,216,354,630,Provisional
202305,0603140000,"Flowers, cut; chrysanthemums, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",NMB,"29,930","68,284","90,824",Provisional
202305,0603190024,"Flowers, cut; alstroemeria, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",NMB,"29,324","56,494","73,050",Provisional
202305,0603190027,"Flowers, cut; gypsophila, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",NMB,"3,620","10,905","8,840",Provisional
202305,0603190078,"Flowers, cut; n.e.c. in item no. 0603.19, flowers and buds of a kind suitable for bouquets or ornamental purposes, fresh",NMB,"23,233","43,617","41,791",Provisional
202305,0603900109,"Flowers, cut; other than paeonies, flowers and buds of a kind suitable for bouquets or ornamental purposes, dried or bleached",,"5,296","6,252",,Provisional
202305,0603900900,"Flowers, cut; flowers and buds of a kind suitable for bouquets or ornamental purposes, dyed, impregnated or otherwise prepared, excludes fresh, dried or bleached",,"1,130","1,146",,Provisional
202305,0604200019,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; other than sphagnum moss and proteaceae, suitable for bouquets or for ornamental purposes, fresh",,"12,133","26,849",,Provisional
202305,0604901019,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; other than sphagnum moss and proteaceae, suitable for bouquets or for ornamental purposes, dried or bleached",,"2,934","3,061",,Provisional
202305,0604909000,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens; suitable for bouquets or for ornamental purposes, other than dried or bleached",,327,682,,Provisional
202305,0703100100,"Vegetables, alliaceous; onions, fresh or chilled",TNE,"130,521","139,329",28,Provisional
202305,0703100900,"Vegetables, alliaceous; shallots, fresh or chilled",KGM,"1,665","1,835",547,Provisional
