Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201908,204210038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, fresh or chilled",KGM,"231,654","30,324",0,0,"231,654","30,324",Final,,,,
201908,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"26,389,749","1,718,827",0,0,"26,389,749","1,718,827",Final,,,,
201908,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"128,572","17,243",0,0,"128,572","17,243",Final,,,,
201908,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"18,652,171","1,108,208",0,0,"18,652,171","1,108,208",Final,,,,
201908,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"35,684","2,200",0,0,"35,684","2,200",Final,,,,
201908,204300012,"Meat; of sheep, lamb carcasses and half-carcasses, PH grade, frozen",KGM,"26,794","3,349",0,0,"26,794","3,349",Final,,,,
201908,204300018,"Meat; of sheep, lamb carcasses and half-carcasses, PL grade, frozen",KGM,339,37,0,0,339,37,Final,,,,
201908,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"223,521","24,987",0,0,"223,521","24,987",Final,,,,
201908,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"456,584","51,807",0,0,"456,584","51,807",Final,,,,
201908,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"673,425","69,517",0,0,"673,425","69,517",Final,,,,
201908,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"669,541","83,430",0,0,"669,541","83,430",Final,,,,
201908,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"185,922","35,239",0,0,"185,922","35,239",Final,,,,
201908,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"660,043","114,941",0,0,"660,043","114,941",Final,,,,
201908,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"1,154,951","160,157",0,0,"1,154,951","160,157",Final,,,,
201908,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"115,744","16,096",0,0,"115,744","16,096",Final,,,,
201908,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"5,668,285","772,347",0,0,"5,668,285","772,347",Final,,,,
201908,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"42,229","5,494",0,0,"42,229","5,494",Final,,,,
201908,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"84,714,297","8,649,563",0,0,"84,714,297","8,649,563",Final,,,,
201908,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"16,661,197","2,435,426",0,0,"16,661,197","2,435,426",Final,,,,
201908,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"17,363,012","1,628,067",0,0,"17,363,012","1,628,067",Final,,,,
201908,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"3,112,451","338,485",0,0,"3,112,451","338,485",Final,,,,
201908,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"2,653,533","209,913",0,0,"2,653,533","209,913",Final,,,,
201908,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"288,623","15,777",0,0,"288,623","15,777",Final,,,,
201908,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"640,435","55,365",0,0,"640,435","55,365",Final,,,,
201908,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"1,828,718","247,994",0,0,"1,828,718","247,994",Final,,,,
