Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202203,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"303,823","77,970",0,0,"303,823","77,970",Final,,,,
202203,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"14,729","1,994",0,0,"14,729","1,994",Final,,,,
202203,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"16,119,097","1,838,971",0,0,"16,119,097","1,838,971",Final,,,,
202203,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"14,344","1,236",0,0,"14,344","1,236",Final,,,,
202203,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"928,334","217,559",0,0,"928,334","217,559",Final,,,,
202203,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,323,014","146,576",0,0,"1,323,014","146,576",Final,,,,
202203,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,633,076","737,006",0,0,"1,633,076","737,006",Final,,,,
202203,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"165,349","21,252",0,0,"165,349","21,252",Final,,,,
202203,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"35,407","3,823",0,0,"35,407","3,823",Final,,,,
202203,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,890,864","380,132",0,0,"2,890,864","380,132",Final,,,,
202203,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"671,860","122,820",0,0,"671,860","122,820",Final,,,,
202203,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"805,923","324,072",0,0,"805,923","324,072",Final,,,,
202203,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"37,558","6,823",0,0,"37,558","6,823",Final,,,,
202203,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"699,907","80,077",0,0,"699,907","80,077",Final,,,,
202203,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"38,727","6,603",0,0,"38,727","6,603",Final,,,,
202203,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"398,065","100,718",0,0,"398,065","100,718",Final,,,,
202203,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"506,631","63,843",0,0,"506,631","63,843",Final,,,,
202203,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,"3,787",450,0,0,"3,787",450,Final,,,,
202203,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"1,541,302","636,243",0,0,"1,541,302","636,243",Final,,,,
202203,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"1,244",124,0,0,"1,244",124,Final,,,,
202203,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"7,352","1,521",0,0,"7,352","1,521",Final,,,,
202203,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"60,906","7,272",0,0,"60,906","7,272",Final,,,,
202203,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"2,731",136,0,0,"2,731",136,Final,,,,
202203,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"629,217","6,185",0,0,"629,217","6,185",Final,,,,
202203,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"350,341","1,564",0,0,"350,341","1,564",Final,,,,
202203,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"473,063","38,172",0,0,"473,063","38,172",Final,,,,
202203,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,355,001","53,985",0,0,"1,355,001","53,985",Final,,,,
202203,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"17,228,169","1,513,577",0,0,"17,228,169","1,513,577",Final,,,,
202203,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"28,996","2,182","1,366",100,"30,362","2,282",Final,,,,
202203,210190011,"Meat; of swine, pork n.e.c. in heading 0210, salted or pickled",KGM,0,0,802,30,802,30,Final,,,,
202203,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"6,733",165,0,0,"6,733",165,Final,,,,
202203,210993021,"Meat and edible meat offal; of deer, edible offal, preserved, salted, in brine, dried or smoked, pizzles",KGM,"54,075",105,0,0,"54,075",105,Final,,,,
202203,210993025,"Meat and edible meat offal; of deer, edible offal, salted, in brine, dried or smoked, other than pizzles and tails",KGM,"14,865",30,0,0,"14,865",30,Final,,,,
